isoform,plddt_difference,exon_skipping,alternative_donor_site,alternative_acceptor_site,mutually_exclusive_exon,intron_retention,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon,tm_align
O00476-2,3.8975186460125713,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7004388114274663
P49763-2,11.87509793798776,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589341472
Q96PC3-4,1.8264935064935912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982452062
Q9BZZ5-2,2.577532260995909,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.89491533
Q10587-2,0.5405650455155211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.569455299
Q8NFG4-2,4.162160409659791,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.535422995
P35372-8,0.7419782745591448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.842418316
P51965-3,2.3107736693358447,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.774673647
Q6PII5-2,17.052963316214374,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.785577095
P62508-2,2.402988304974116,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.691391188
Q9H5Z6-2,19.012749434389157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.725235594
Q86VI4-2,14.024840735881156,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.693074611
Q96EZ8-2,1.5322284802916926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.437334511
Q9H900-2,3.5864436143835547,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.894924863
A4IF30-2,8.093082257876418,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.784638698
P16333-2,0.35058372386680503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.463163794
Q16555-2,1.0163618098318636,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.90462511
O43736-2,0.8234656318905706,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.760870998
Q9BZW8-2,0.5654305812662273,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494195385
O75971-2,5.955906362545022,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469270261
O75469-7,7.997581327149973,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.684906631
Q8NES3-2,9.448459630606862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.792083503
Q8N3I7-2,1.5974999999999397,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747732894
Q8N983-3,9.305986670448107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.811772181
O15466-2,4.989227948770946,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846526707
Q9BYG7-5,1.0240719650333432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.842400544
Q16570-2,0.8034111721611481,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829567607
Q96SI1-2,1.2555113104405677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.738893693
A6NDV4-2,7.16267626115733,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.683033957
P17612-2,1.1828649506201145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.987298417
P25101-5,2.4411379182414663,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.593583084
P05166-2,3.757684740508708,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972284033
Q95460-3,2.00733114275279,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672704172
Q9BYG7-6,3.97890799868334,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598972831
P35372-9,3.073720238095291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.78335183
Q02641-3,5.154487762555959,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.694543971
Q8NER5-2,0.7864303221289077,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6058055649647048
Q16635-3,7.2924317682735165,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947050348
Q86X67-2,5.305640986864802,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621694846
Q16653-4,11.601574929690685,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449877013
Q5T2W1-2,6.737396435452752,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463567699
Q7LGA3-3,1.5568793238800964,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.61580086
P49771-3,3.165078848560725,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.425289776
Q16653-13,4.015520071364975,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.663421209
Q9BXJ2-2,0.19950165996445435,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.671369067
Q9BXJ4-3,9.295159033565199,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.562307
P40925-3,2.9352835805661925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.966051393
Q3B8N2-2,0.09217115049858648,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972542308
Q13572-2,9.850373396104445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.869073406
O75553-2,27.67179433745337,0.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.56770023
Q9P1U1-3,5.050222323048956,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813329379
Q9Y3E7-2,3.5092740817740946,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.434830906
O15229-2,1.0547717484928398,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.940051602
P49798-5,2.189029607408415,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.828451989
Q8WUP2-3,10.83792302910203,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608921781
Q6ICL3-2,7.898920493024534,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862923039
Q9Y2Q5-3,4.266812631578944,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675634858
O75461-2,6.129885119026952,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.762771439
Q1ZYL8-2,0.21091242346122385,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845600456
Q6P4H8-2,2.181750317914478,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668921206
P06493-2,0.4218968855219458,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8154625945310964
Q96Q40-4,5.836547054597716,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.849946908
Q96LA6-2,0.3420389734876039,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.842526353
Q5JS37-2,6.546013174145642,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761674520445301
O14773-2,3.4313459702487137,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.762752987
Q8N5A5-2,0.5915320574479779,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392388194
Q6ZMG9-2,1.9257599914966477,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87968159
O14733-4,2.3283310923615943,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911398853
Q9BZ23-2,21.556953405017865,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.731882314
Q9UJT1-2,1.3160714721509947,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899734019
Q8WUB8-3,3.942085281258059,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.38881188
Q8WUB8-2,0.724332572224526,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373703389
Q9NPF2-2,0.6643333278753261,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892302784
O75469-4,4.770810514341363,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592175145
O43929-2,1.7559359361969626,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.852694896
O00560-2,1.0237183919733042,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824009214
P51686-2,1.560103846416709,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972717544
Q8NEA4-3,0.06329041875598307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.650424288
Q9BZP6-3,1.9725121381885629,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.646212109
P40426-5,1.3979070125668756,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.671138905
Q9NZQ7-2,6.368122648902769,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664237085
A6NFN9-3,0.2859607891961673,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.712975884585154
Q86SX3-6,11.671082373026017,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51616591
Q99572-2,2.64261247575962,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.790388623
Q9Y483-4,0.4338880534091061,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745536153
P17028-2,5.300898569497605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.463103425
Q9H553-2,4.107177452965061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.8528882321080764
Q6P1K2-2,5.851836691410398,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.820407457
P01242-3,3.0175904548980554,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886195058
Q96GM5-2,1.4814533611897218,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735693762
Q9BTT0-3,4.130887381275414,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.530915318
Q99961-2,0.8294809782608183,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467825623
P36896-5,1.5484621773434526,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.687654463
Q9UBL9-3,5.698188061955975,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.796088544
P49682-2,6.311531495547314,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86979586
Q8NER5-4,0.7999721152568782,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.800871137
P50579-3,1.5140233114165795,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797423058
Q8N3J6-2,2.0648959257995045,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058707384105378
Q16671-3,4.0884428282475085,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4642790610648111
Q8IWW8-3,3.247590688405026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.710248286
Q6GTX8-2,3.8623679184411372,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485903914
Q11203-6,9.554726772486774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.531214377
P53367-3,9.171779994165803,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552843161
Q9P287-4,5.709979277549991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.738942437
Q12974-4,7.7907982626296075,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.816145875
Q5EBM0-4,0.6461175336661285,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.91872704
P48729-2,5.1177943986017596,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927053109
Q9Y6Y9-2,12.121649038461527,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771150205
Q9BYV7-5,2.1436047567360106,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867049097
P11177-2,2.30049167204443,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955034085
Q9BZX4-2,8.412970125786245,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.775269696
O14681-3,2.141656983038729,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911751749
Q9NPB6-2,0.22574457568902062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793850551
O75347-2,23.92619509043925,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.754961838
Q9BQA9-2,4.879908812710553,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664886045
Q96JY0-2,0.4895480326125039,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.610818846
Q5SZQ8-4,0.9583277626636146,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605472160616857
Q9UDX4-2,0.36291642228735554,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.92546416
O75688-4,9.882372761235118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.892766793
O60880-4,0.21832374999996773,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.842954941
O94772-2,0.970521739130433,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.758946485
P55210-4,3.0358997554431824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.85773903
Q92187-2,5.779435601538765,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.472815012
Q86SG2-2,0.6623281181823444,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5943719925768018
Q00888-3,0.026284975914038,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67188586290836
Q13510-2,2.9315033416489342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.921823525
P07101-2,1.2764271050197067,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.760314394
Q9Y285-2,2.065519486951004,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626505045
P52798-2,2.633396489057361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.724806245
Q9HBE4-2,0.010951343500323674,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.887863962
O43414-2,12.92880918009989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.74681371
O75569-3,1.9746436812211954,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.5782109
Q16635-7,5.222910406540038,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918725146
Q86WB0-3,4.235035773379948,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726870714
P11473-2,5.739016786217505,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.777595648
Q5SGD2-2,2.9807100982196886,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.711398413
Q8N371-3,4.808421086072485,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.937573282
O75818-2,0.7777056392804553,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937974512
Q5J8X5-3,12.412163978494661,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526059421
Q86Y07-4,2.79614062184541,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.5653653048855815
Q16619-2,0.15758059701495597,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969538936
Q9NR81-3,0.439885145372898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.818569809
Q9HAJ7-3,3.807798429923821,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453344872
Q9HB21-2,6.973812029406602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.739922454
Q14CB8-3,2.1346481071832244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.868445402
P27216-2,6.877222015388369,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931953604
Q9UPM9-2,1.060294117647075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.752351845
Q9H000-2,0.013016021344625983,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639094845
Q9H074-2,7.662485594989491,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694694851
Q96H22-4,3.7765346168428664,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689344994
P41440-3,6.002798833214072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.7915419192127344
A2A2Y4-2,0.1917800935130174,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.674911555
Q13509-2,0.9032804232805063,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.913098495
P43897-2,4.57281200533572,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895141698
Q96MV8-3,0.9778189910979478,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.970282822
Q30201-3,3.290708410764694,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57865987
Q15628-2,0.8656456043955814,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.614605051
P61201-2,2.3915360421369485,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951891353
Q96H12-2,1.5146790165808852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.445335391
Q86YT5-3,5.46936852969003,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.919432319
Q92485-2,3.3543246619332194,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.830369308
O14775-2,2.77396880266798,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.944187749
P58499-3,2.265726931391441,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864732655
Q8TBY0-2,6.033263941559156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.74596458
Q9NNX6-7,1.5836273377337449,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59667625
Q9UL19-2,0.3747013758598712,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.798350621
P25786-2,2.371817603573234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.907687336
Q96M93-3,2.428846326164887,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.764282902
P24001-2,2.983912074922742,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.728206871
P49281-2,0.13262982978095295,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.943381143
P49281-4,3.3211377603981163,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.888991902
O00154-4,7.333870133914672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.925787163
Q96S37-2,0.8907128024867887,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845440533
Q9BVP2-2,0.4545868058735749,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.697867272
P30039-2,7.858480158730146,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.926073775
Q2VIR3-2,5.808628064305026,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.952660212
P43250-2,0.41489995991324236,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.955257642
Q7Z4G4-3,2.666290055550405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.762155373
Q9UHY7-2,0.773223055139141,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.707811553
P23280-2,3.205089519107105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.863231485
Q9NZH6-2,3.513102542048898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.819722325
P63165-2,4.549734236581557,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.791800193
Q9BZ67-3,2.3884022654370796,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798501228
P53779-3,3.102071798607682,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.857391272
Q96CQ1-3,1.7126557411057632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987750774
P84101-4,4.047566854990549,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.615591036
Q68CL5-3,5.650039941262818,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.836281187
P62820-3,14.114755908489371,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648324235
P30411-2,3.4277829459543057,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881001761
Q96P11-4,4.965839210434822,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.946237976
Q96MF2-2,3.0024648351648295,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.580009431
Q96SA4-2,0.5239166367402106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.94949296
Q9BWF3-4,13.539431334561385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.464112927
P12955-2,2.7038167531279242,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951376532
Q14318-2,0.2758479277837864,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764174074
Q9HAE3-2,6.219190735938469,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793440533
Q9BS86-2,0.10661619861622285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901059356
Q68DY1-3,5.096095191040803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,0.438604689
Q8NES3-3,2.2119165466785233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.820881144
