isoform,length,plddt,class,seqence identity,tm-score,helix,sheet,loop,surface charge,radius of gyration,high id low tm,charge positive,charge negative,radius positive,radius negative,ptm added,ptm buried to exposed,ptm exposed to buried,ptm missed,ptm added(curated),ptm buried to exposed(curated),ptm exposed to buried(curated),ptm missed(curated)
O94788-4,422,97.92533175,high,81.46718147,0.905552186,0.426540284,0.194312796,0.379146919,-2.22E-16,23.24170312,na,na,na,na,na,0,0,0,1,0,0,0,0
P15907-2,175,97.84611429,high,43.10344828,0.714474318,0.445714286,0.091428571,0.462857143,-2,17.54374069,na,na,TRUE,na,na,0,0,0,7,0,0,0,0
P16930-2,349,97.83054441,high,83.29355609,0.916074678,0.252148997,0.260744986,0.487106017,7,21.33267642,na,na,na,na,na,0,0,0,0,0,0,0,0
Q16775-2,260,97.81076923,high,84.41558442,0.918982781,0.361538462,0.207692308,0.430769231,1,18.06832825,na,na,na,na,na,0,0,0,0,0,0,0,0
Q96DC8-2,172,97.77965116,high,56.76567657,0.77261329,0.610465116,0.104651163,0.284883721,3,19.13544624,na,na,na,na,na,0,0,0,2,0,0,0,0
P43166-2,208,97.75144231,high,78.78787879,0.892916836,0.158653846,0.331730769,0.509615385,3,16.75801672,na,na,na,na,na,0,0,0,0,0,0,0,0
O43708-2,161,97.7257764,high,74.53703704,0.871721442,0.639751553,0.037267081,0.322981366,-1,16.454219,na,na,na,na,na,0,1,0,1,0,0,0,0
P49189-2,424,97.70040094,high,85.82995951,0.922856561,0.426886792,0.205188679,0.367924528,-7,23.44505793,na,na,na,na,na,0,0,1,7,0,0,0,0
P50053-2,298,97.6964094,high,90.60402685,0.994538776,0.375838926,0.271812081,0.352348993,-5,18.95848474,na,na,na,na,na,0,0,0,1,0,0,0,0
P51857-2,290,97.68951724,high,87.73006135,0.935377461,0.393103448,0.127586207,0.479310345,10,18.73995463,na,na,na,na,na,0,1,0,1,0,0,0,0
P31939-2,591,97.65939086,high,98.98648649,0.995273533,0.473773266,0.16751269,0.358714044,-3,33.18684357,na,na,na,na,na,0,0,0,0,0,0,0,0
P23526-2,404,97.64821782,high,93.51851852,0.964570014,0.485148515,0.150990099,0.363861386,0,22.19166253,na,na,na,na,na,0,1,0,6,0,0,0,0
Q9H4Y5-3,215,97.56534884,high,88.47736626,0.937364286,0.641860465,0.041860465,0.31627907,0,17.51025298,na,na,na,na,na,0,0,0,3,0,0,0,0
P13929-2,406,97.55630542,high,93.5483871,0.966052386,0.45320197,0.120689655,0.426108374,7,21.34101577,na,na,na,na,na,0,3,1,2,0,0,0,0
P30044-2,162,97.53907407,high,75.70093458,0.876246546,0.351851852,0.222222222,0.425925926,3,14.23435253,na,na,na,na,na,0,1,0,1,0,0,0,0
Q9Y2T3-2,380,97.53665789,high,83.70044053,0.91798422,0.481578947,0.121052632,0.397368421,-8,20.15613109,na,na,na,na,na,0,1,0,2,0,0,0,0
P62937-2,105,97.52885714,high,63.63636364,0.81516483,0.123809524,0.142857143,0.733333333,1,14.37282128,na,na,na,na,na,0,3,0,18,0,0,0,1
P34896-4,345,97.50657971,high,71.42857143,0.855479538,0.475362319,0.12173913,0.402898551,3,22.45020398,na,na,na,na,na,0,1,0,14,0,0,0,2
Q8N4T8-2,179,97.50162011,high,75.52742616,0.873212542,0.541899441,0.17877095,0.279329609,10,16.37970311,na,na,na,na,na,0,1,0,1,0,0,0,0
Q03013-2,195,97.50133333,high,85.97285068,0.938358804,0.594871795,0.102564103,0.302564103,-9,17.65086268,na,na,na,na,na,0,0,1,4,0,0,0,0
Q5T013-2,174,97.45954023,high,62.81588448,0.810051894,0.488505747,0.091954023,0.41954023,-3,16.16863135,na,na,na,na,na,0,0,0,1,0,0,0,0
P04181-2,301,97.42966777,high,68.56492027,0.837788218,0.435215947,0.149501661,0.415282392,-4,20.3887959,na,na,na,na,na,0,0,0,14,0,0,0,0
P36871-3,365,97.41419178,high,64.94661922,0.821709006,0.394520548,0.287671233,0.317808219,-2,20.64714507,na,na,TRUE,na,na,0,2,0,16,0,0,0,0
Q9H0W9-2,296,97.39141892,high,93.96825397,0.969111988,0.158783784,0.388513514,0.452702703,0,18.07700308,na,na,na,na,na,0,0,0,1,0,0,0,0
P00367-2,391,97.36682864,high,70.07168459,0.84781849,0.547314578,0.058823529,0.393861893,2,24.2762891,na,na,na,na,na,0,5,1,13,0,0,0,0
Q8TD30-2,423,97.30245863,high,80.87954111,0.901140225,0.513002364,0.09929078,0.387706856,-1,22.63126214,na,na,na,na,na,0,0,0,3,0,0,0,0
Q8WY91-2,165,97.28624242,high,28.42287695,0.640337631,0.042424242,0.587878788,0.36969697,1,16.04765428,na,na,na,na,na,0,0,0,0,0,0,0,0
P62879-2,240,97.28258333,high,70.58823529,0.850893371,0.025,0.570833333,0.404166667,-12,17.75934755,na,na,na,na,na,0,0,0,13,0,0,0,0
P46597-2,298,97.26325503,high,86.37681159,0.916164395,0.540268456,0.130872483,0.32885906,-7,22.07497514,na,na,na,na,na,0,0,0,0,0,0,0,0
Q8NCW5-2,185,97.25237838,high,64.23611111,0.817847387,0.318918919,0.172972973,0.508108108,2,16.65311625,na,na,na,na,na,0,1,0,2,0,0,0,0
A2VDF0-2,134,97.2480597,high,86.36363636,0.931518789,0.417910448,0.164179104,0.417910448,-3,14.90955531,na,na,na,na,na,0,1,0,0,0,0,0,0
O60547-2,342,97.22666667,high,90.86021505,0.958738154,0.435672515,0.16374269,0.400584795,2,20.85080687,na,na,na,na,na,0,0,0,2,0,0,0,0
Q9NZK5-2,270,97.21296296,high,50.9765625,0.762437276,0.533333333,0.077777778,0.388888889,-3,19.42002993,na,na,TRUE,na,na,0,0,0,9,0,0,0,0
Q5T013-3,247,97.13093117,high,89.16967509,0.944925943,0.44534413,0.064777328,0.489878543,-3,17.33027901,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9H0R4-2,169,97.12698225,high,65.25096525,0.685227222,0.431952663,0.183431953,0.384615385,-6,18.04434636,na,na,na,na,na,0,0,0,2,0,0,0,0
P51452-2,144,97.1125,high,77.2972973,0.876767071,0.513888889,0.097222222,0.388888889,4,15.25179706,na,na,na,na,na,0,0,1,2,0,0,0,0
Q96AT9-5,160,97.07975,high,70.1754386,0.82987434,0.51875,0.15,0.33125,-3,15.92477004,na,na,na,na,na,0,0,0,3,0,0,0,0
P06865-2,168,97.07380952,high,31.37996219,0.656242379,0.422619048,0.095238095,0.482142857,-7,17.69940288,na,na,na,na,na,0,0,0,3,0,0,0,0
Q96BJ3-2,141,97.01248227,high,46.07843137,0.728333922,0.085106383,0.460992908,0.453900709,7,15.32933564,na,na,na,na,na,0,1,0,6,0,0,0,0
Q9NQH7-2,428,96.96247664,high,84.41814596,0.921741867,0.401869159,0.179906542,0.418224299,-10,25.10327203,na,na,na,na,na,0,2,0,2,0,0,0,0
Q9BV79-2,297,96.96245791,high,79.62466488,0.897641116,0.377104377,0.185185185,0.437710438,1,19.7707581,na,na,na,na,na,0,0,0,1,0,0,0,0
Q13303-4,300,96.9602,high,81.74386921,0.907998593,0.54,0.1,0.36,6,20.03603989,na,na,na,na,na,0,0,0,16,0,0,0,6
Q9Y2S2-2,297,96.95861953,high,93.10344828,0.96297471,0.589225589,0.097643098,0.313131313,-6,21.863822,na,na,na,na,na,0,0,0,0,0,0,0,0
Q8TDQ7-3,259,96.9572973,high,93.47826087,0.954401892,0.436293436,0.166023166,0.397683398,-1,17.81426664,na,na,na,na,na,0,0,0,1,0,0,0,0
P22694-4,338,96.95488166,high,96.01139601,0.97981879,0.399408284,0.153846154,0.446745562,9,20.20955387,na,na,na,na,na,0,1,0,2,0,0,0,0
P55809-2,123,96.95154472,high,23.65384615,0.614917534,0.105691057,0.300813008,0.593495935,4,14.48587535,na,na,na,na,TRUE,0,2,0,19,0,0,0,0
Q8NBK3-2,284,96.94225352,high,75.93582888,0.879235822,0.169014085,0.112676056,0.718309859,-6,18.11843191,na,na,na,na,na,0,0,0,0,0,0,0,0
Q7L5Y1-7,213,96.90629108,high,48.08126411,0.725942979,0.44600939,0.046948357,0.507042254,-1,19.62961986,na,na,na,na,na,0,0,0,5,0,0,0,1
P21397-2,394,96.88266497,high,74.76280835,0.859694789,0.459390863,0.134517766,0.406091371,1,26.30595353,na,na,na,na,na,0,1,0,2,0,1,0,0
Q6UWP2-2,181,96.86723757,high,69.61538462,0.844883008,0.535911602,0.110497238,0.35359116,-3,17.42020661,na,na,na,na,na,0,1,0,1,0,0,0,0
Q14376-2,274,96.82562044,high,77.87356322,0.885244388,0.408759124,0.135036496,0.45620438,3,19.27717596,na,na,na,na,na,0,2,0,1,0,0,0,0
Q9H0P0-3,285,96.81498246,high,84.82142857,0.920856013,0.50877193,0.129824561,0.361403509,-7,18.82829882,na,na,na,na,na,0,0,0,1,0,0,0,0
Q13228-2,408,96.81306373,high,86.44067797,0.929316054,0.085784314,0.37254902,0.541666667,0,20.21041655,na,na,na,na,na,0,0,0,2,0,0,0,0
Q9H0P0-2,286,96.80115385,high,85.11904762,0.92223467,0.506993007,0.129370629,0.363636364,-6,18.88097643,na,na,na,na,na,0,0,0,1,0,0,0,0
Q15782-5,311,96.76398714,high,79.74358974,0.886771469,0.434083601,0.196141479,0.36977492,4,20.31104378,na,na,na,na,na,0,1,0,0,0,0,0,0
Q9UDX4-2,341,96.76158358,high,85.25,0.92546416,0.331378299,0.278592375,0.390029326,-6,22.83478606,na,na,na,na,na,0,0,0,2,0,0,0,0
O95050-2,262,96.75015267,high,99.61977186,0.997081036,0.41221374,0.217557252,0.370229008,-6,17.102449,na,na,na,na,na,0,0,0,0,0,0,0,0
P35813-2,324,96.73651235,high,83.07291667,0.908740825,0.351851852,0.240740741,0.407407407,-10,21.03572113,na,na,na,na,na,0,0,0,4,0,0,0,0
Q9H7B4-2,258,96.73651163,high,59.11214953,0.800385797,0.620155039,0.07751938,0.302325581,-17,19.0623914,na,na,na,na,na,0,0,0,11,0,0,0,0
Q9NPJ3-2,117,96.72948718,high,81.42857143,0.91340644,0.179487179,0.47008547,0.35042735,2,14.31010683,na,na,na,na,na,0,0,1,4,0,0,0,0
P11177-2,341,96.72369501,high,94.98607242,0.955034085,0.419354839,0.181818182,0.398826979,0,20.73121988,na,na,na,na,na,0,0,1,1,0,0,0,0
Q14914-2,301,96.71754153,high,89.6656535,0.934049173,0.362126246,0.222591362,0.415282392,1,21.45032906,na,na,na,na,na,0,0,0,1,0,0,0,0
P60174-4,167,96.71556886,high,67.06827309,0.830912235,0.562874251,0.113772455,0.323353293,-4,15.38750649,na,na,na,na,na,0,0,0,20,0,0,0,1
P00374-2,135,96.71540741,high,72.19251337,0.851119221,0.2,0.237037037,0.562962963,-3,16.58462224,na,na,na,na,na,0,0,0,5,0,0,0,0
Q96C11-6,252,96.71444444,high,45.73502722,0.727169967,0.535714286,0.091269841,0.373015873,-2,19.79524466,na,na,na,na,na,0,0,0,3,0,0,0,0
Q9BUT1-3,144,96.70229167,high,58.7755102,0.782696885,0.513888889,0.131944444,0.354166667,5,16.72667138,na,na,na,na,na,0,1,0,7,0,0,0,0
Q8TDQ7-4,206,96.69427184,high,74.63768116,0.865583015,0.441747573,0.126213592,0.432038835,-6,18.28286845,na,na,na,na,na,0,0,0,8,0,0,0,0
O94760-2,182,96.6906044,high,63.85964912,0.814578319,0.351648352,0.252747253,0.395604396,-5,16.9321303,na,na,na,na,na,0,1,0,5,0,0,0,0
Q9H7B4-3,369,96.66089431,high,86.21495327,0.924307292,0.615176152,0.054200542,0.330623306,-6,22.51846715,na,na,na,na,na,0,1,0,6,0,0,0,0
Q8TDQ7-2,275,96.65934545,high,99.63768116,0.997145339,0.458181818,0.152727273,0.389090909,3,18.06100543,na,na,na,na,na,0,0,0,0,0,0,0,0
Q92484-2,322,96.65881988,high,71.0816777,0.853110564,0.400621118,0.158385093,0.440993789,0,19.81838543,na,na,na,na,na,0,0,0,0,0,0,0,0
O14775-2,353,96.65756374,high,89.36708861,0.944187749,0.090651558,0.490084986,0.419263456,-8,21.49333753,na,na,na,na,na,0,0,0,1,0,0,0,0
P62837-2,118,96.63177966,high,80.27210884,0.898046829,0.372881356,0.152542373,0.474576271,2,14.79712779,na,na,na,na,na,0,0,0,2,0,0,0,0
Q8TE69-2,146,96.62657534,high,91.13924051,0.957897289,0.287671233,0.253424658,0.45890411,2,15.20229938,na,na,na,na,na,0,0,0,0,0,0,0,0
P52209-2,470,96.59280851,high,97.30848861,0.983648552,0.59787234,0.057446809,0.344680851,5,25.55082719,na,na,na,na,na,0,0,0,0,0,0,0,0
Q96C11-4,439,96.59241458,high,79.67332123,0.895895906,0.507972665,0.088838269,0.403189066,-4,23.17754539,na,na,na,na,na,0,0,0,0,0,0,0,0
P17612-2,343,96.59069971,high,96.01139601,0.987298417,0.402332362,0.151603499,0.44606414,9,20.33330068,na,na,na,na,na,0,1,0,2,0,0,0,1
P55789-2,125,96.55328,high,60.97560976,0.770261394,0.648,0,0.352,-1,16.79622295,na,na,na,na,na,0,0,0,5,0,0,0,0
Q9NRG4-2,272,96.54904412,high,62.81755196,0.813055965,0.363970588,0.161764706,0.474264706,-7,19.50744818,na,na,na,na,na,0,0,0,5,0,0,0,0
Q7L5Y1-6,262,96.54049618,high,59.14221219,0.782777544,0.435114504,0.103053435,0.461832061,3,19.34659548,na,na,na,na,na,0,0,0,4,0,0,0,1
P61077-2,148,96.52081081,high,97.2972973,0.994838595,0.391891892,0.155405405,0.452702703,1,15.97815076,na,na,na,na,na,0,0,0,3,0,0,0,0
P22694-3,339,96.51958702,high,95.44159544,0.982617556,0.401179941,0.15339233,0.445427729,10,20.22872368,na,na,na,na,na,0,1,0,3,0,0,0,0
Q9P1U1-2,330,96.51190909,high,78.94736842,0.884567481,0.536363636,0.142424242,0.321212121,-2,23.45216285,na,na,na,na,na,0,1,0,1,0,0,0,0
P00387-2,278,96.5023741,high,92.35880399,0.957037395,0.244604317,0.323741007,0.431654676,1,19.43381152,na,na,na,na,na,0,0,0,1,0,0,0,0
P40616-2,164,96.44384146,high,90.60773481,0.952270501,0.402439024,0.256097561,0.341463415,0,14.71585785,na,na,na,na,na,0,0,0,0,0,0,0,0
Q96BW5-2,302,96.43980132,high,86.53295129,0.928545869,0.493377483,0.079470199,0.427152318,2,19.10345622,na,na,na,na,na,0,0,0,0,0,0,0,0
P24666-2,158,96.43962025,high,87.34177215,0.992466468,0.481012658,0.139240506,0.379746835,0,15.04415562,na,na,na,na,na,2,1,0,3,0,0,0,0
O95278-8,193,96.43756477,high,58.3081571,0.79110223,0.564766839,0.119170984,0.316062176,2,16.17510851,na,na,na,na,na,0,0,0,1,0,0,0,1
P09104-2,391,96.41608696,high,89.86175115,0.947583413,0.404092072,0.16112532,0.434782609,-7,20.30831821,na,na,na,na,na,0,0,2,1,0,0,0,0
P06753-7,158,96.40841772,high,48.42105263,0.752564682,0.987341772,0,0.012658228,-16,68.02565793,na,TRUE,na,na,TRUE,0,0,0,22,0,0,0,1
P09622-2,410,96.40690244,high,80.55009823,0.89632162,0.334146341,0.253658537,0.412195122,0,23.96230366,na,na,na,na,na,0,1,0,3,0,1,0,0
Q96C11-2,246,96.38813008,high,44.646098,0.711231643,0.430894309,0.073170732,0.495934959,-2,20.80374284,na,na,na,na,na,0,0,0,1,0,0,0,0
O43684-2,326,96.3842638,high,99.08536585,0.994702375,0.039877301,0.558282209,0.401840491,-2.22E-16,18.95141926,na,na,na,na,na,0,0,0,1,0,0,0,0
Q6PIU2-3,275,96.37967273,high,67.40196078,0.832435348,0.516363636,0.087272727,0.396363636,1,18.75868109,na,na,na,na,na,0,1,1,2,0,0,0,0
Q9H903-1,289,96.35605536,high,83.28530259,0.912571604,0.442906574,0.162629758,0.394463668,5,19.37400913,na,na,na,na,na,0,0,1,0,0,0,0,0
P13929-3,391,96.34746803,high,89.86175115,0.949756504,0.396419437,0.168797954,0.434782609,12,20.25734674,na,na,na,na,na,0,1,1,3,0,0,0,0
Q9BV47-2,86,96.33790698,high,40.75829384,0.677991679,0.662790698,0,0.337209302,8,12.72612657,na,na,na,na,na,0,0,0,3,0,0,0,0
P49356-2,391,96.32132992,high,89.01601831,0.941862308,0.529411765,0.020460358,0.450127877,-10,21.56288483,na,na,na,na,na,0,0,0,4,0,0,0,0
Q9UDX4-3,323,96.31829721,high,80.5,0.902836307,0.312693498,0.294117647,0.393188854,-3,22.63098528,na,na,na,na,na,0,0,0,2,0,0,0,0
Q9NUJ1-2,149,96.30919463,high,48.69281046,0.736996262,0.44295302,0.174496644,0.382550336,-2,17.57255949,na,na,na,na,na,0,0,0,10,0,0,0,0
Q9NWU5-3,126,96.30793651,high,61.16504854,0.795165799,0.412698413,0.26984127,0.317460317,7,24.25172107,na,na,na,na,na,0,0,0,1,0,0,0,0
Q6QNY1-2,99,96.29575758,high,69.71830986,0.814921548,0.97979798,0,0.02020202,2,43.17327444,na,na,na,na,TRUE,0,0,0,1,0,0,0,0
Q99643-5,116,96.29508621,high,65.0887574,0.836828974,0.844827586,0,0.155172414,3,18.56195715,na,na,na,na,TRUE,0,0,0,1,0,0,0,0
P48735-2,400,96.28675,high,88.49557522,0.940867944,0.5075,0.1725,0.32,2,22.75771777,na,na,na,na,na,0,0,1,1,0,0,0,0
Q15124-2,387,96.28395349,high,68.07760141,0.836576312,0.372093023,0.211886305,0.416020672,1,21.66729077,na,na,na,na,na,0,1,0,10,0,0,0,0
P00558-2,389,96.28362468,high,93.2853717,0.963980751,0.447300771,0.18251928,0.370179949,4,23.33327249,na,na,na,na,na,0,0,0,8,0,0,0,1
P60900-3,167,96.27838323,high,67.88617886,0.831127976,0.51497006,0.125748503,0.359281437,-2,17.49091532,na,na,na,na,na,0,0,0,24,0,0,0,1
O94788-3,497,96.27293763,high,93.43629344,0.9628393,0.420523139,0.201207243,0.378269618,2,24.00708466,na,na,na,na,na,0,0,0,1,0,0,0,0
Q9NWU5-2,120,96.25966667,high,57.76699029,0.775861626,0.375,0.283333333,0.341666667,6,24.75085843,na,na,na,na,na,0,0,0,2,0,0,0,0
Q6ZS86-3,250,96.2522,high,47.25897921,0.730324959,0.416,0.216,0.368,2,18.93515389,na,na,na,na,na,0,0,0,4,0,0,0,0
P28332-2,375,96.24613333,high,97.86666667,0.989445036,0.317333333,0.216,0.466666667,7,20.85256802,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9H310-5,302,96.23357616,high,68.48072562,0.838304617,0.794701987,0,0.205298013,-1,19.1270395,na,na,na,na,na,0,0,0,0,0,0,0,0
P00390-2,479,96.22914405,high,91.76245211,0.940092181,0.350730689,0.223382046,0.425887265,3,25.13616821,na,na,na,na,na,0,1,1,0,0,0,0,0
P15428-4,143,96.22524476,high,52.63157895,0.758021628,0.48951049,0.167832168,0.342657343,-1,14.9912986,na,na,na,na,na,0,0,0,10,0,0,0,0
P62873-2,332,96.18259036,high,96.19883041,0.981473661,0.105421687,0.475903614,0.418674699,-5,20.51953031,na,na,na,na,na,0,0,0,0,0,0,0,0
P78417-3,213,96.17549296,high,88.38174274,0.935477705,0.65258216,0.042253521,0.305164319,0,17.59285384,na,na,na,na,na,0,0,0,5,0,0,0,0
Q8N5Z0-2,429,96.15988345,high,98.83449883,0.980314463,0.484848485,0.13986014,0.375291375,3,23.69452552,na,na,na,na,na,0,0,0,0,0,0,0,0
O15217-2,129,96.14232558,high,58.10810811,0.784535898,0.744186047,0,0.255813953,2,16.01813063,na,na,na,na,na,0,0,0,1,0,0,0,0
Q13564-3,445,96.13289888,high,83.33333333,0.907893517,0.55505618,0.078651685,0.366292135,-13,28.81039825,na,na,na,na,na,0,0,0,5,0,0,0,0
P14618-2,531,96.09024482,high,95.85687382,0.995440133,0.4086629,0.207156309,0.384180791,8,25.0482127,na,na,na,na,na,5,0,1,12,0,0,0,4
Q8TDH9-3,123,96.08861789,high,65.24064171,0.792727812,0.983739837,0,0.016260163,1,52.63417451,na,na,na,na,na,0,0,0,9,0,0,0,0
P22061-2,228,96.08846491,high,98.68421053,0.994882469,0.372807018,0.24122807,0.385964912,-3,16.507097,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9Y617-2,324,96.07546296,high,87.56756757,0.928410597,0.435185185,0.108024691,0.456790123,0,20.9497051,na,na,na,na,na,0,1,1,12,0,0,0,0
Q9GZT8-2,350,96.0708,high,92.83819629,0.951832293,0.357142857,0.214285714,0.428571429,-6,26.88859957,na,na,na,na,na,0,0,0,0,0,0,0,0
O15382-2,300,96.05173333,high,75.25510204,0.879839057,0.32,0.323333333,0.356666667,5,19.89124028,na,na,na,na,na,0,0,0,3,0,0,0,1
Q6PID8-2,299,96.05120401,high,67.64705882,0.827528272,0.117056856,0.341137124,0.54180602,4,20.73738385,na,na,na,na,na,0,0,0,3,0,0,0,0
Q8N8N7-2,180,96.049,high,50.14245014,0.744509806,0.283333333,0.283333333,0.433333333,-4,19.17202627,na,na,na,na,na,0,0,0,2,0,0,0,0
P09525-2,237,96.03265823,high,74.29467085,0.867620406,0.751054852,0,0.248945148,-1,18.62085935,na,na,na,na,na,0,0,0,5,0,0,0,0
P42330-2,204,96.03034314,high,63.15789474,0.811503894,0.392156863,0.053921569,0.553921569,5,18.70609567,na,na,na,na,na,0,3,0,21,0,0,0,0
O43414-3,128,96.02820313,high,37.98219585,0.680894848,0.5390625,0.0546875,0.40625,3,15.93308204,na,na,na,na,na,0,0,0,2,0,0,0,0
Q99807-2,179,95.99905028,high,82.48847926,0.910891192,0.888268156,0,0.111731844,-1,16.52676616,na,na,na,na,TRUE,0,0,0,2,0,0,0,0
P48163-2,497,95.99722334,high,86.88811189,0.931493541,0.515090543,0.102615694,0.382293763,-3,24.86032324,na,na,na,na,na,0,0,0,5,0,0,0,0
P04062-2,516,95.9605814,high,96.26865672,0.974611019,0.279069767,0.240310078,0.480620155,6,23.86279339,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9UBQ0-2,186,95.95231183,high,97.31182796,0.986047572,0.14516129,0.365591398,0.489247312,1,15.5083199,na,na,na,na,na,0,0,0,0,0,0,0,0
Q8N4P3-2,140,95.94464286,high,76.53631285,0.86976502,0.707142857,0,0.292857143,-3,15.13992006,na,na,na,na,na,0,0,0,0,0,0,0,0
Q96HA8-2,145,95.9422069,high,70.73170732,0.844123939,0.24137931,0.179310345,0.579310345,-2,16.18275444,na,na,na,na,na,0,0,0,1,0,0,0,0
P55263-2,345,95.94168116,high,94.19889503,0.975471907,0.457971014,0.228985507,0.313043478,-3,19.26726975,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9UHY7-2,115,95.94165217,high,44.06130268,0.707811553,0.391304348,0.165217391,0.443478261,-9,14.46956345,na,na,na,na,na,0,0,0,1,0,0,0,0
P60900-2,227,95.93621145,high,91.05691057,0.953874384,0.45814978,0.255506608,0.286343612,2,17.62003063,na,na,na,na,na,0,0,0,8,0,0,0,0
Q9Y316-2,274,95.92587591,high,92.25589226,0.933432325,0.419708029,0.226277372,0.354014599,1,19.34248604,na,na,na,na,na,0,2,0,0,0,0,0,0
P30711-2,122,95.89696721,high,50.83333333,0.744725917,0.729508197,0,0.270491803,-3,16.42096228,na,na,na,na,na,0,0,0,3,0,0,0,0
Q9HC38-2,298,95.89057047,high,89.6875,0.947403526,0.268456376,0.352348993,0.379194631,-5,18.77539195,na,na,na,na,na,1,0,1,0,0,0,0,0
Q9H3H5-2,400,95.874375,high,98.03921569,0.989757459,0.6975,0.075,0.2275,6,22.7317388,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9HAB8-2,138,95.86463768,high,44.37299035,0.70999843,0.405797101,0.202898551,0.391304348,-3,18.8775741,na,na,na,na,na,0,0,0,2,0,0,0,0
O60427-2,360,95.86219444,high,81.08108108,0.892817473,0.697222222,0,0.302777778,11,22.2266258,na,na,na,na,na,0,0,0,3,0,0,0,0
O95278-7,177,95.85909605,high,52.26586103,0.765206886,0.542372881,0.129943503,0.327683616,1,15.83538119,na,na,na,na,na,0,0,0,1,0,0,0,1
Q12794-3,253,95.84541502,high,58.16091954,0.782940307,0.442687747,0.086956522,0.470355731,3,19.27299689,na,na,na,na,na,0,0,0,0,0,0,0,0
Q8IXK2-2,272,95.84433824,high,46.81583477,0.716419346,0.272058824,0.202205882,0.525735294,-6,21.79374837,na,na,na,na,na,0,1,0,4,0,0,0,0
O75191-2,399,95.83238095,high,74.44029851,0.870184231,0.458646617,0.130325815,0.411027569,-1,22.94470245,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9P2T1-3,320,95.8223125,high,91.95402299,0.952039852,0.365625,0.196875,0.4375,3,20.0146893,na,na,na,na,na,0,1,0,0,0,0,0,0
Q07020-2,159,95.81716981,high,84.04255319,0.920114637,0.333333333,0.094339623,0.572327044,31,21.86358917,na,na,na,na,na,0,1,1,4,0,0,0,0
P34913-3,489,95.80462168,high,88.10810811,0.694930072,0.494887526,0.134969325,0.370143149,-4,27.21589172,na,na,na,na,na,0,0,0,3,0,0,0,0
Q13564-2,528,95.77352273,high,97.00374532,0.986990478,0.558712121,0.098484848,0.34280303,-15,28.89647645,na,na,na,na,na,1,0,0,5,0,0,0,0
Q8IXL6-2,252,95.76396825,high,43.15068493,0.710069703,0.464285714,0.075396825,0.46031746,-1,21.8027363,na,na,na,na,na,0,0,0,14,0,0,0,1
A2RUC4-2,152,95.69710526,high,48.25396825,0.729788777,0.348684211,0.269736842,0.381578947,0,19.28562789,na,na,na,na,na,0,0,0,3,0,0,0,0
Q8NDN9-2,355,95.69208451,high,65.53672316,0.83063222,0.070422535,0.290140845,0.63943662,1,19.46010137,na,na,na,na,na,1,0,0,6,0,0,0,0
Q9BT22-2,353,95.68773371,high,76.07758621,0.878388359,0.458923513,0.152974504,0.388101983,-8,23.33847025,na,na,na,na,na,0,0,0,1,0,0,0,0
