isoform,length,plddt,transcript_ID,gene_ID,gene_name
O00506-3,332,78.19289156626508,ENST00000543554.5,ENSG00000115694.15,STK25
P49903-2,321,88.82211838006232,ENST00000378614.8,ENSG00000086475.15,SEPHS1
P20290-2,162,77.59913580246915,ENST00000335895.12,ENSG00000145741.17,BTF3
Q6GTX8-3,269,75.20148698884756,ENST00000474878.5,ENSG00000167613.16,LAIR1
Q06330-7,487,86.4671663244353,ENST00000355476.8,ENSG00000168214.22,RBPJ
Q5XKL5-2,305,71.03895081967215,na,na,na
Q96P71-3,203,75.31192118226603,na,na,na
P02708-2,457,80.78050328227575,ENST00000348749.9,ENSG00000138435.16,CHRNA1
Q03936-3,554,72.20700361010829,ENST00000357512.3,ENSG00000146757.14,ZNF92
O00476-2,498,82.94823293172693,ENST00000397060.8,ENSG00000124564.17,SLC17A3
P49763-2,149,82.62134228187917,ENST00000553716.5,ENSG00000119630.14,PGF
Q96PC3-4,154,94.84681818181826,ENST00000396654.7,ENSG00000152056.17,AP1S3
Q9BZZ5-2,504,87.23684523809524,ENST00000378852.7,ENSG00000166181.13,API5
Q10587-2,273,73.10695970695976,ENST00000406644.7,ENSG00000167074.15,TEF
Q5W0U4-2,193,88.42849740932643,na,na,na
Q8NFG4-2,342,73.79619883040932,ENST00000389169.9,ENSG00000154803.13,FLCN
Q9H3H1-5,385,82.93553246753251,ENST00000441669.6,ENSG00000043514.17,TRIT1
P35372-8,397,76.31710327455919,ENST00000435918.6,ENSG00000112038.18,OPRM1
P51965-3,176,84.19886363636364,ENST00000346855.7,ENSG00000170142.12,UBE2E1
Q6PII5-2,282,92.93617021276596,ENST00000389703.8,ENSG00000103253.19,HAGHL
P62508-2,435,78.20211494252867,ENST00000391890.7,ENSG00000196482.18,ESRRG
O00453-8,35,73.05685714285714,ENST00000376092.7,ENSG00000204482.11,LST1
Q9H977-3,244,87.40008196721305,ENST00000409791.5,ENSG00000005448.17,WDR54
Q9H5Z6-2,272,82.49459558823531,ENST00000389874.3,ENSG00000124019.10,FAM124B
Q86VI4-2,226,74.99752212389379,ENST00000521545.7,ENSG00000104341.17,LAPTM4B
O75602-3,585,86.6600683760684,na,na,na
P45379-2,297,79.1655555555556,na,na,na
P52757-6,241,74.32734439834022,na,na,na
Q96EZ8-2,475,73.45227368421052,ENST00000357123.8,ENSG00000187778.14,MCRS1
Q9H900-2,477,86.24129979035642,ENST00000446801.6,ENSG00000174442.12,ZWILCH
A4IF30-2,362,74.93337016574591,ENST00000554729.5,ENSG00000151812.15,SLC35F4
P16333-2,313,71.04718849840258,ENST00000469404.1,ENSG00000158092.7,NCK1
Q16555-2,536,91.1585820895522,ENST00000523027.1,ENSG00000092964.18,DPYSL2
Q658L1-2,383,71.37289817232379,na,na,na
P00338-2,274,86.0067518248175,ENST00000396222.6,ENSG00000134333.14,LDHA
Q8N323-2,405,95.09429629629636,na,na,na
O43736-2,219,80.97730593607311,ENST00000434584.2,ENSG00000078596.11,ITM2A
Q9BZW8-2,365,71.64786301369861,ENST00000368034.9,ENSG00000122223.13,CD244
O75971-2,68,82.53529411764706,ENST00000307979.7,ENSG00000174446.13,SNAPC5
Q16854-5,255,81.48796078431366,na,na,na
Q9BUB4-2,353,75.08745042492924,na,na,na
O75469-7,473,77.43128964059194,ENST00000337940.4,ENSG00000144852.20,NR1I2
O15392-5,117,90.98034188034188,na,na,na
Q8NES3-2,250,91.62780000000004,ENST00000402045.5,ENSG00000106003.14,LFNG
Q5T9L3-2,543,80.55145488029467,ENST00000354777.6,ENSG00000116729.14,WLS
Q8N3I7-2,320,86.7125,ENST00000392663.6,ENSG00000163093.12,BBS5
Q8NCC3-2,318,70.88732704402518,ENST00000413021.2,ENSG00000103066.13,PLA2G15
P62070-4,210,82.94080952380949,na,na,na
Q8N983-3,164,92.30896341463418,ENST00000370234.4,ENSG00000055950.17,MRPL43
O15466-2,412,86.20832524271847,ENST00000538168.5,ENSG00000101638.14,ST8SIA5
Q9BYG7-5,262,79.34427480916025,ENST00000436348.6,ENSG00000134042.14,MRO
Q14790-2,464,82.77984913793105,na,na,na
Q16570-2,338,78.61692307692306,ENST00000368121.6,ENSG00000213088.12,ACKR1
Q96SI1-2,234,81.26286324786325,ENST00000284006.10,ENSG00000153885.15,KCTD15
A6NDV4-2,338,73.4576627218934,ENST00000377996.5,ENSG00000137103.20,TMEM8B
P17612-2,343,96.59069970845484,ENST00000589994.6,ENSG00000072062.15,PRKACA
P25101-5,202,77.5546039603961,ENST00000648866.1,ENSG00000151617.17,EDNRA
P05166-2,559,89.86810375670842,ENST00000469217.5,ENSG00000114054.14,PCCB
Q95460-3,249,86.01630522088352,ENST00000282990.10,ENSG00000153029.16,MR1
Q9BYG7-6,196,76.38943877551026,ENST00000588444.5,ENSG00000134042.14,MRO
Q9UMX3-2,134,80.01305970149258,na,na,na
P35372-9,420,72.50140476190475,ENST00000419506.6,ENSG00000112038.18,OPRM1
Q02641-3,478,74.1423640167365,ENST00000394310.7,ENSG00000067191.16,CACNB1
P54108-2,258,89.8837984496124,ENST00000263045.9,ENSG00000096006.12,CRISP3
Q8NER5-2,336,85.49407738095242,ENST00000348328.9,ENSG00000123612.16,ACVR1C
Q6ZUS6-2,322,82.02211180124229,na,na,na
Q16635-3,262,94.83133587786254,ENST00000612460.5,ENSG00000102125.16,TAFAZZIN
Q86X67-2,263,83.14577946768064,ENST00000349051.9,ENSG00000166321.14,NUDT13
Q16653-4,131,73.32526717557252,ENST00000376888.6,ENSG00000204655.12,MOG
Q5T2W1-2,408,71.51875000000007,ENST00000451928.6,ENSG00000174827.14,PDZK1
Q7LGA3-3,229,90.11567685589516,ENST00000370551.8,ENSG00000153936.18,HS2ST1
P49771-3,153,78.17117647058822,ENST00000595510.1,ENSG00000090554.13,FLT3LG
Q16653-13,295,80.91132203389823,ENST00000376894.8,ENSG00000204655.12,MOG
Q9Y3A2-2,148,88.745,na,na,na
Q9UMX9-2,298,75.30003355704696,na,na,na
Q9BXJ2-2,296,74.42942567567566,ENST00000295297.4,ENSG00000163145.13,C1QTNF7
Q9BXJ4-3,319,70.15642633228842,ENST00000382065.8,ENSG00000082196.21,C1QTNF3
A0PJE2-2,242,78.14148760330576,ENST00000218981.5,ENSG00000102796.12,DHRS12
P40426-4,170,86.80200000000002,na,na,na
Q9H160-2,240,73.59212500000004,na,na,na
Q9NNX6-8,268,83.08358208955224,na,na,na
P40925-3,352,93.87303977272722,ENST00000432309.6,ENSG00000014641.21,MDH1
Q9H169-3,167,81.37970059880236,ENST00000519997.5,ENSG00000015592.17,STMN4
P26436-7,165,72.03781818181818,na,na,na
Q3B8N2-2,355,84.56292957746486,ENST00000324290.5,ENSG00000170298.16,LGALS9B
P49758-9,453,83.8675938189845,na,na,na
Q13572-2,314,92.8454458598726,ENST00000354313.7,ENSG00000100605.17,ITPK1
O75553-2,213,86.40558685446011,ENST00000371230.1,ENSG00000173406.16,DAB1
P43115-10,431,72.63350348027842,na,na,na
Q9P1U1-3,348,88.09767241379309,ENST00000377776.7,ENSG00000133627.18,ACTR3B
Q9Y3E7-2,156,77.8669871794872,ENST00000409225.2,ENSG00000115561.16,CHMP3
P32856-3,277,81.81624548736465,na,na,na
O15229-2,473,88.10930232558137,ENST00000366558.7,ENSG00000117009.12,KMO
P49798-5,187,81.17561497326203,ENST00000367906.7,ENSG00000117152.14,RGS4
Q8WUP2-3,276,77.46572463768112,ENST00000332305.5,ENSG00000162458.13,FBLIM1
Q6ICL3-2,214,87.15593457943925,ENST00000398042.6,ENSG00000183597.16,TANGO2
Q9Y2Q5-3,95,87.24294736842107,ENST00000368304.9,ENSG00000116586.12,LAMTOR2
O75461-2,206,77.09490291262134,ENST00000542100.5,ENSG00000169016.17,E2F6
Q9H4E5-2,192,80.13578124999995,na,na,na
Q1ZYL8-2,214,81.85009345794391,ENST00000395307.6,ENSG00000099840.14,IZUMO4
Q6P4H8-2,216,78.79365740740741,ENST00000510047.5,ENSG00000150756.14,ATPSCKMT
Q96DV4-2,196,93.65933673469388,na,na,na
P06493-2,240,89.56637500000006,ENST00000316629.8,ENSG00000170312.17,CDK1
Q96Q40-4,384,78.46682291666666,ENST00000410091.7,ENSG00000138395.17,CDK15
Q8WXK4-2,318,82.93443396226415,ENST00000362002.3,ENSG00000198881.10,ASB12
O43837-3,233,84.55935622317597,na,na,na
Q96LA6-2,428,75.73471962616823,ENST00000491942.1,ENSG00000163534.15,FCRL1
Q5JS37-2,280,83.0188571428572,ENST00000379599.6,ENSG00000188811.14,NHLRC3
Q9H313-5,320,78.89875000000002,na,na,na
Q99836-3,191,75.10513089005232,ENST00000651800.2,ENSG00000172936.16,MYD88
O15519-10,300,71.67003333333328,na,na,na
O14773-2,320,93.82509374999998,ENST00000533371.6,ENSG00000166340.18,TPP1
Q8N5A5-2,511,75.55017612524462,ENST00000355969.11,ENSG00000197114.12,ZGPAT
Q6ZMG9-2,392,84.81772959183672,ENST00000392687.4,ENSG00000172292.15,CERS6
Q9H0R4-2,169,97.12698224852076,na,na,na
A5PLN9-4,412,87.27135922330098,ENST00000505553.5,ENSG00000113597.18,TRAPPC13
O14733-4,426,74.43438967136153,ENST00000397981.7,ENSG00000076984.18,MAP2K7
Q9BZ23-2,279,95.19362007168452,ENST00000497424.5,ENSG00000125779.24,PANK2
Q9UJT1-2,398,89.20635678391957,ENST00000340993.10,ENSG00000108423.15,TUBD1
Q8WUB8-3,451,74.15656319290461,ENST00000621772.4,ENSG00000130024.15,PHF10
Q9H3H1-6,163,81.6048466257669,ENST00000537440.5,ENSG00000043514.17,TRIT1
Q8WUB8-2,496,70.93881048387108,ENST00000366780.8,ENSG00000130024.15,PHF10
O75678-3,317,84.34788643533116,na,na,na
Q5SQI0-6,310,77.15606451612906,ENST00000319027.9,ENSG00000137343.18,ATAT1
Q8N3R3-4,352,89.7616193181818,na,na,na
Q7L1S5-2,74,71.07283783783788,ENST00000580774.2,ENSG00000154080.14,CHST9
Q9NPF2-2,347,89.79106628242076,ENST00000549260.5,ENSG00000171310.11,CHST11
Q8N0S2-2,282,84.72570921985813,ENST00000368517.7,ENSG00000171772.17,SYCE1
O75469-4,397,80.65806045340055,ENST00000466380.6,ENSG00000144852.20,NR1I2
Q8TE02-3,179,75.36519553072627,na,na,na
Q9NPH5-9,514,83.8982490272374,ENST00000532825.5,ENSG00000086991.13,NOX4
Q8NHP6-2,455,76.9422637362637,na,na,na
O43929-2,352,87.78735795454548,ENST00000536575.5,ENSG00000115947.14,ORC4
O00560-2,297,83.3380808080807,ENST00000447182.6,ENSG00000137575.12,SDCBP
P48059-5,362,83.69516574585633,na,na,na
P51686-2,357,84.08652661064433,ENST00000395963.2,ENSG00000173585.17,CCR9
P22748-2,106,83.25500000000002,ENST00000586876.1,ENSG00000167434.10,CA4
Q8NEA4-3,157,89.46350318471342,ENST00000373652.7,ENSG00000153832.12,FBXO36
Q9BZP6-3,315,90.3612063492063,ENST00000451398.6,ENSG00000134216.19,CHIA
P40426-5,359,70.73988857938713,ENST00000447726.6,ENSG00000167081.18,PBX3
Q92985-3,164,80.45579268292684,ENST00000533182.5,ENSG00000185507.21,IRF7
Q9H6Q3-3,234,76.73564102564103,na,na,na
Q9H1R2-3,235,80.63634042553194,ENST00000339738.10,ENSG00000149599.16,DUSP15
Q9NZQ7-2,176,81.87267045454544,ENST00000381573.8,ENSG00000120217.14,CD274
Q99489-3,369,92.03626016260168,na,na,na
A6NFN9-3,544,74.92494485294117,ENST00000446160.7,ENSG00000206199.11,ANKUB1
Q86SX3-6,426,75.41877934272301,ENST00000392522.7,ENSG00000185347.18,TEDC1
Q99572-2,364,90.2873351648352,ENST00000535250.5,ENSG00000089041.17,P2RX7
Q9Y483-4,536,71.03606343283576,ENST00000370303.4,ENSG00000143033.18,MTF2
P17028-2,193,71.66051813471505,ENST00000589881.5,ENSG00000172466.16,ZNF24
Q5JXA9-2,191,77.22146596858636,na,na,na
Q6TCH4-3,238,90.14478991596638,na,na,na
P09132-3,78,71.63102564102566,ENST00000515463.1,ENSG00000153037.15,SRP19
Q9H553-2,323,87.01585139318885,ENST00000319033.7,ENSG00000119523.10,ALG2
Q9NVA1-3,184,82.21679347826085,na,na,na
Q6P1K2-2,207,81.43826086956518,ENST00000368273.8,ENSG00000160783.19,PMF1
P01242-3,202,77.99752475247524,ENST00000449787.6,ENSG00000136487.18,GH2
Q96GM5-2,474,75.21101265822783,ENST00000381513.8,ENSG00000066117.15,SMARCD1
Q9BTT0-3,220,72.48254545454547,ENST00000616917.4,ENSG00000143401.15,ANP32E
Q9BZW8-3,329,75.95851063829785,ENST00000492063.5,ENSG00000122223.13,CD244
Q99961-2,320,82.44856249999998,ENST00000417295.6,ENSG00000141985.9,SH3GL1
Q96CB9-3,186,90.9829569892473,na,na,na
P36896-5,453,84.80737306843257,ENST00000542485.1,ENSG00000135503.13,ACVR1B
Q9UQ07-2,231,94.04614718614712,na,na,na
P40426-3,253,72.39312252964426,na,na,na
Q9UBL9-3,447,74.18722595078296,ENST00000350048.9,ENSG00000187848.15,P2RX2
Q9BTZ2-6,75,86.84733333333334,na,na,na
P49682-2,415,74.52028915662656,ENST00000373691.4,ENSG00000186810.8,CXCR3
Q8NER5-4,443,83.90767494356663,ENST00000409680.7,ENSG00000123612.16,ACVR1C
P50579-3,455,83.91942857142863,ENST00000546753.5,ENSG00000111142.14,METAP2
Q8N3J6-2,404,83.5635396039604,ENST00000383699.8,ENSG00000175161.14,CADM2
P15692-6,171,81.49783625730997,na,na,na
Q16671-3,478,73.70623430962337,ENST00000379791.7,ENSG00000135409.11,AMHR2
P13232-3,64,71.83078125,na,na,na
Q8IWW8-3,303,89.90881188118811,ENST00000424777.6,ENSG00000147576.17,ADHFE1
Q6GTX8-2,270,74.98174074074078,ENST00000348231.8,ENSG00000167613.16,LAIR1
Q11203-6,189,81.93084656084655,ENST00000645142.1,ENSG00000126091.21,ST3GAL3
Q9H2L5-2,330,71.49960606060604,na,na,na
P53367-3,193,85.53046632124351,ENST00000429148.6,ENSG00000164144.16,ARFIP1
Q9P287-4,292,73.1325684931507,ENST00000299130.7,ENSG00000107949.17,BCCIP
O95278-4,152,72.60440789473678,na,na,na
Q12974-4,142,83.13626760563388,ENST00000602683.5,ENSG00000184007.22,PTP4A2
Q5EBM0-4,409,86.0430806845967,ENST00000404168.1,ENSG00000134326.12,CMPK2
O75486-4,328,70.84003048780488,ENST00000371460.5,ENSG00000196284.17,SUPT3H
Q7Z2E3-7,342,83.25187134502924,ENST00000379817.7,ENSG00000137074.20,APTX
Q5TFE4-2,405,79.2314567901234,na,na,na
A2RUC4-2,152,95.69710526315788,na,na,na
O95278-6,88,95.54159090909096,na,na,na
Q9BYG7-2,210,72.6704761904762,ENST00000431965.6,ENSG00000134042.14,MRO
P48729-2,365,86.3327397260273,ENST00000261798.10,ENSG00000113712.19,CSNK1A1
P12532-2,448,85.53089285714285,na,na,na
Q9Y6Y9-2,130,75.7025384615385,ENST00000518893.1,ENSG00000154589.7,LY96
Q9BYV7-5,506,86.73798418972336,ENST00000361053.8,ENSG00000197580.13,BCO2
Q8N3F0-2,124,77.52483870967737,na,na,na
Q9XRX5-3,76,71.0253947368421,na,na,na
P11177-2,341,96.72369501466277,ENST00000383714.8,ENSG00000168291.13,PDHB
Q9BZX4-2,120,92.8110833333334,ENST00000511082.1,ENSG00000114547.10,ROPN1B
O14681-3,326,84.14190184049069,ENST00000534546.5,ENSG00000149547.15,EI24
Q96AZ1-3,155,85.58070967741935,na,na,na
Q9NPB6-2,345,73.53762318840579,ENST00000458121.7,ENSG00000102981.10,PARD6A
O75347-2,129,70.23186046511631,ENST00000306388.10,ENSG00000171530.15,TBCA
Q9BQA9-2,173,78.46907514450868,ENST00000585115.1,ENSG00000178927.18,CYBC1
P27338-2,411,90.63678832116794,na,na,na
Q96JY0-2,403,72.02245657568237,ENST00000367870.6,ENSG00000143194.13,MAEL
Q5SZQ8-4,415,71.43204819277112,ENST00000290585.8,ENSG00000159409.15,CELF3
Q9Y2B0-2,84,77.21880952380954,na,na,na
Q9UDX4-2,341,96.76158357771268,ENST00000401751.5,ENSG00000100012.12,SEC14L3
P49758-8,467,88.06520342612416,na,na,na
O75688-4,380,94.67976315789475,ENST00000409432.7,ENSG00000138032.21,PPM1B
O60880-4,125,83.69848,ENST00000360027.4,ENSG00000183918.17,SH2D1A
O94772-2,161,77.13080745341617,ENST00000342752.9,ENSG00000176956.13,LY6H
Q8TDH9-3,123,96.08861788617892,na,na,na
Q8N5Z5-2,297,71.15531986531981,na,na,na
Q9NXB0-2,520,72.18880769230775,na,na,na
P55210-4,278,84.0687050359712,ENST00000452490.3,ENSG00000165806.21,CASP7
Q13324-6,366,79.9944535519125,na,na,na
O00712-2,188,91.84430851063831,na,na,na
Q92187-2,168,80.85880952380948,ENST00000451528.2,ENSG00000113532.13,ST8SIA4
Q86SG2-2,263,80.24095057034225,ENST00000331001.2,ENSG00000163126.15,ANKRD23
Q00888-3,326,86.76616564417178,ENST00000433626.6,ENSG00000243137.8,PSG4
Q13510-2,411,88.71586374695868,ENST00000381733.9,ENSG00000104763.20,ASAH1
A6NKQ9-2,155,80.06361290322577,ENST00000301407.8,ENSG00000267631.5,CGB1
P07101-2,524,81.82087786259547,ENST00000381175.5,ENSG00000180176.15,TH
Q9Y285-2,477,89.37012578616357,ENST00000423140.6,ENSG00000179115.11,FARSA
P42081-4,275,83.49807272727271,ENST00000264468.9,ENSG00000114013.16,CD86
Q8NFV4-4,308,86.09016233766236,na,na,na
P52798-2,193,80.05466321243523,ENST00000359751.8,ENSG00000243364.8,EFNA4
Q8IYS5-7,286,80.22622377622378,na,na,na
Q9NVS2-2,270,70.30585185185181,na,na,na
Q96GJ1-2,494,75.69392712550608,na,na,na
Q9HBE4-2,153,83.6371241830065,ENST00000611104.2,ENSG00000138684.9,IL21
O43414-2,222,86.95842342342333,ENST00000372259.9,ENSG00000117419.16,ERI3
O75569-3,288,78.3201388888889,ENST00000487082.5,ENSG00000180228.14,PRKRA
P20839-6,599,85.72684474123547,ENST00000338791.11,ENSG00000106348.18,IMPDH1
Q06330-2,425,86.95578823529405,na,na,na
Q92890-3,266,78.22624060150376,ENST00000399523.5,ENSG00000070010.19,UFD1
Q16635-7,248,92.76181451612906,ENST00000613002.4,ENSG00000102125.16,TAFAZZIN
Q86WB0-3,431,72.2664501160094,ENST00000360708.9,ENSG00000091732.17,ZC3HC1
P11473-2,477,77.95920335429771,ENST00000550325.5,ENSG00000111424.12,VDR
Q8WV16-2,433,75.18404157043884,na,na,na
Q5SGD2-2,181,92.857182320442,ENST00000464260.5,ENSG00000163590.14,PPM1L
Q8N371-3,454,84.05403083700449,ENST00000441782.6,ENSG00000155666.12,KDM8
Q06265-3,355,74.67585915492957,na,na,na
Q13228-2,408,96.81306372549012,na,na,na
P06753-6,248,92.63366935483872,ENST00000328159.9,ENSG00000143549.21,TPM3
O75818-2,340,90.92055882352945,ENST00000319533.9,ENSG00000124787.14,RPP40
Q5J8X5-3,93,73.40408602150538,ENST00000437058.6,ENSG00000204979.8,MS4A13
Q29983-2,287,76.11606271777006,na,na,na
Q86Y07-4,390,74.72856410256408,ENST00000412104.6,ENSG00000028116.18,VRK2
Q96C11-4,439,96.59241457858764,na,na,na
P01241-4,171,85.85590643274851,na,na,na
Q16619-2,200,85.25370000000002,ENST00000395019.3,ENSG00000150281.7,CTF1
Q9NR81-3,532,73.49159774436096,ENST00000413728.6,ENSG00000163947.12,ARHGEF3
Q9HAJ7-3,142,78.5799295774648,ENST00000440364.6,ENSG00000164576.12,SAP30L
Q6NXT6-2,562,70.42409252669043,na,na,na
Q9HB21-2,334,77.46314371257486,ENST00000368988.5,ENSG00000107679.15,PLEKHA1
Q9Y6I7-4,219,82.5962100456621,na,na,na
Q9NRM6-2,288,81.81013888888887,na,na,na
Q14CB8-3,485,70.78290721649495,ENST00000371027.5,ENSG00000213390.11,ARHGAP19
O95150-2,192,85.86484375000008,na,na,na
P27216-2,357,87.90078431372552,ENST00000262219.10,ENSG00000104537.17,ANXA13
O60671-2,246,87.70914634146337,na,na,na
Q9UPM9-2,153,83.97196078431372,ENST00000268841.10,ENSG00000108641.20,B9D1
Q9H000-2,373,70.4387131367292,ENST00000411987.5,ENSG00000075975.17,MKRN2
Q969W1-3,338,79.62860946745562,ENST00000353979.7,ENSG00000171307.19,ZDHHC16
Q9H074-2,400,79.48139999999997,ENST00000436644.6,ENSG00000172239.14,PAIP1
Q9Y3E7-4,182,73.39164835164839,ENST00000409727.5,ENSG00000115561.16,CHMP3
O76083-3,466,88.11002145922738,ENST00000398224.3,ENSG00000160191.18,PDE9A
Q96H22-4,319,82.1562382445141,ENST00000439957.7,ENSG00000166451.14,CENPN
Q6P4F1-5,419,87.48198090692127,na,na,na
P41440-3,489,78.48621676891624,ENST00000650808.1,ENSG00000173638.19,SLC19A1
A2A2Y4-2,556,74.959334532374,ENST00000376438.5,ENSG00000172159.16,FRMD3
Q13509-2,378,90.46060846560844,ENST00000554444.5,ENSG00000258947.8,TUBB3
P43897-2,346,82.96875722543354,ENST00000323833.12,ENSG00000123297.20,TSFM
O75521-2,359,91.4833147632313,na,na,na
P50539-4,182,73.99274725274724,ENST00000361248.8,ENSG00000119950.21,MXI1
P54868-3,453,91.13066225165552,na,na,na
Q96MV8-3,328,88.13499999999999,ENST00000541184.1,ENSG00000102383.14,ZDHHC15
Q30201-3,334,84.82667664670657,ENST00000461397.5,ENSG00000010704.19,HFE
Q15628-2,252,82.84464285714283,ENST00000486556.1,ENSG00000102871.16,TRADD
P61201-2,450,82.6100666666667,ENST00000299259.10,ENSG00000166200.15,COPS2
P29972-2,186,71.0422580645162,na,na,na
O14931-5,165,76.61690909090909,ENST00000376071.4,ENSG00000204475.10,NCR3
Q9P0W2-3,293,76.51211604095563,na,na,na
Q9H8M2-4,233,71.93738197424892,na,na,na
Q96H12-2,159,75.53100628930815,ENST00000374885.5,ENSG00000066697.15,MSANTD3
P56937-2,333,90.35735735735732,na,na,na
Q8WUH1-2,140,74.92964285714284,ENST00000607599.6,ENSG00000258289.10,CHURC1
Q86YT5-3,551,80.17462794918319,ENST00000293800.10,ENSG00000141485.17,SLC13A5
P22307-6,140,79.21821428571428,ENST00000430330.6,ENSG00000116171.19,SCP2
Q92485-2,373,89.24868632707778,ENST00000373888.8,ENSG00000130768.15,SMPDL3B
O14775-2,353,96.65756373937684,ENST00000358784.11,ENSG00000069966.19,GNB5
P58499-3,187,95.24866310160428,ENST00000398647.7,ENSG00000183844.17,FAM3B
Q9UKA8-3,173,73.42641618497107,ENST00000412742.5,ENSG00000117602.13,RCAN3
Q8TBY0-2,470,79.19904255319146,ENST00000510397.5,ENSG00000151962.8,RBM46
Q9NNX6-7,360,71.11919444444449,ENST00000204801.12,ENSG00000090659.18,CD209
Q8TD08-3,277,83.35722021660648,ENST00000395107.8,ENSG00000181085.15,MAPK15
Q9UL19-2,156,74.94237179487182,ENST00000439013.6,ENSG00000133321.11,PLAAT4
P25786-2,269,89.53133828996292,ENST00000418988.2,ENSG00000129084.18,PSMA1
Q96M93-3,558,80.27252688172041,ENST00000388725.2,ENSG00000164113.11,ADAD1
Q8NG04-2,454,82.81709251101313,na,na,na
P24001-2,188,73.39207446808513,ENST00000525643.7,ENSG00000008517.19,IL32
Q8NCU1-2,127,87.1938582677165,na,na,na
Q8N456-2,255,85.3817647058823,na,na,na
Q9Y2D2-3,220,80.87795454545457,ENST00000638336.1,ENSG00000117620.15,SLC35A3
P49281-2,561,80.98053475935833,ENST00000262052.9,ENSG00000110911.17,SLC11A2
Q96AT9-3,178,91.14780898876408,ENST00000429921.5,ENSG00000197713.15,RPE
P49281-4,597,77.52676716917927,ENST00000547688.7,ENSG00000110911.17,SLC11A2
P00750-4,395,86.075670886076,na,na,na
P61244-6,83,75.8910843373494,ENST00000341653.6,ENSG00000125952.20,MAX
