reference,length,plddt,transcript_ID,gene_ID,gene_name
Q8NCC5,494,84.48202429149798,ENST00000326232.14,ENSG00000157800.18,SLC37A3
P49821,464,93.41793103448276,ENST00000322776.11,ENSG00000167792.13,NDUFV1
Q9UQ74,426,86.94267605633812,ENST00000306511.5,ENSG00000124467.19,PSG8
O15375,505,80.75669306930693,ENST00000329783.9,ENSG00000170190.16,SLC16A5
Q96CU9,486,90.19150205761328,ENST00000263578.10,ENSG00000110074.12,FOXRED1
Q5HYJ3,339,75.72598820059001,ENST00000358780.10,ENSG00000077458.13,FAM76B
P32241,457,76.12730853391692,ENST00000325123.5,ENSG00000114812.13,VIPR1
Q6IB77,296,95.48152027027024,ENST00000344743.8,ENSG00000149124.11,GLYAT
P06241,537,80.9001862197392,ENST00000354650.7,ENSG00000010810.17,FYN
Q9BXN2,247,77.94331983805671,ENST00000304084.13,ENSG00000172243.18,CLEC7A
Q96N03,204,72.61151960784308,ENST00000373461.9,ENSG00000132821.12,VSTM2L
Q96RD7,426,74.33701877934274,ENST00000227638.8,ENSG00000110218.9,PANX1
Q9NXB0,559,74.39939177101962,ENST00000393119.7,ENSG00000011143.19,MKS1
P17509,224,64.42223214285715,ENST00000225648.4,ENSG00000108511.10,HOXB6
Q4JDL3,420,78.09290476190473,ENST00000374339.5,ENSG00000204179.11,PTPN20
Q96FX2,82,83.62670731707315,ENST00000488423.2,ENSG00000154813.10,DPH3
Q9BX46,236,65.31444915254237,ENST00000379052.10,ENSG00000112183.15,RBM24
Q9P121,344,82.56421511627909,ENST00000374786.5,ENSG00000182667.15,NTM
Q9H0A8,199,78.98502512562816,ENST00000267935.13,ENSG00000140365.16,COMMD4
Q6MZQ0,368,68.3793478260869,ENST00000530639.6,ENSG00000135362.14,PRR5L
P36542,298,87.87973154362413,ENST00000356708.12,ENSG00000165629.20,ATP5F1C
P13726,295,84.7194237288136,ENST00000334047.12,ENSG00000117525.14,F3
P16118,471,91.872484076433,ENST00000375006.8,ENSG00000158571.11,PFKFB1
Q8IZR5,234,73.20431623931627,ENST00000330687.8,ENSG00000183723.13,CMTM4
Q15291,538,78.19342007434942,ENST00000264515.11,ENSG00000117222.14,RBBP5
P49682,368,80.83182065217387,ENST00000373693.4,ENSG00000186810.8,CXCR3
Q9HBU6,452,84.26407079646015,ENST00000671733.1,ENSG00000139163.16,ETNK1
P06028,91,66.10659340659339,ENST00000502664.6,ENSG00000250361.9,GYPB
P62136,330,91.09360606060604,ENST00000376745.9,ENSG00000172531.16,PPP1CA
Q9BUF7,120,69.91075,ENST00000600229.6,ENSG00000130545.16,CRB3
O15156,539,50.670612244897946,ENST00000535420.6,ENSG00000160685.14,ZBTB7B
Q9ULP9,559,84.18313059033984,ENST00000646147.1,ENSG00000162065.14,TBC1D24
Q3LXA3,575,95.28933913043475,ENST00000394900.8,ENSG00000149476.16,TKFC
Q8IUK5,500,72.7751,ENST00000315392.9,ENSG00000161381.14,PLXDC1
Q9H1K1,167,84.57982035928144,ENST00000311893.14,ENSG00000136003.16,ISCU
O76013,467,75.98094218415412,ENST00000328119.11,ENSG00000126337.14,KRT36
Q9NVS9,261,88.75685823754789,ENST00000642017.2,ENSG00000108439.11,PNPO
Q8TCY5,172,58.30174418604652,ENST00000303645.10,ENSG00000170262.13,MRAP
Q9NV06,445,92.59788764044956,ENST00000612750.5,ENSG00000164934.14,DCAF13
Q9H788,454,73.1827092511013,ENST00000265807.8,ENSG00000104611.12,SH2D4A
Q8IY31,132,94.51287878787872,ENST00000395418.8,ENSG00000109083.14,IFT20
O15151,490,60.238836734693855,ENST00000367182.8,ENSG00000198625.14,MDM4
Q13228,472,96.4669915254238,ENST00000368868.10,ENSG00000143416.21,SELENBP1
Q9Y4Y9,91,90.4557142857143,ENST00000450169.7,ENSG00000106355.10,LSM5
P17812,591,91.43301184433156,ENST00000650070.2,ENSG00000171793.16,CTPS1
Q2VPA4,569,82.43514938488576,ENST00000508064.7,ENSG00000197721.17,CR1L
Q8N5Y8,322,88.08996894409941,ENST00000649807.2,ENSG00000138617.16,PARP16
Q8NAU1,212,77.18165094339622,ENST00000373471.9,ENSG00000160097.20,FNDC5
Q14982,345,82.96031884057972,ENST00000331898.11,ENSG00000183715.14,OPCML
P10644,381,85.66866141732277,ENST00000589228.6,ENSG00000108946.16,PRKAR1A
Q5VXM1,449,78.71233853006687,ENST00000371330.1,ENSG00000157211.11,CDCP2
Q2KHT4,349,70.57249283667622,na,na,na
O15539,181,85.59475138121546,ENST00000313961.10,ENSG00000143248.13,RGS5
Q1HG44,320,83.21128125,ENST00000323030.6,ENSG00000140274.14,DUOXA2
Q8N1A0,295,74.65044067796613,ENST00000394052.5,ENSG00000213424.9,KRT222
Q9NP72,206,84.98145631067962,ENST00000356940.11,ENSG00000099246.18,RAB18
Q9H7Y0,433,83.3648267898383,ENST00000398000.7,ENSG00000147113.17,DIPK2B
P07510,517,81.19259187620885,ENST00000651502.1,ENSG00000196811.13,CHRNG
Q13133,447,80.77970917225946,ENST00000441012.7,ENSG00000025434.19,NR1H3
P55916,312,61.83288461538459,ENST00000314032.9,ENSG00000175564.13,UCP3
O75190,326,62.826257668711705,ENST00000262177.9,ENSG00000105993.15,DNAJB6
Q8IYR6,380,69.41718421052636,ENST00000374879.5,ENSG00000241697.5,TMEFF1
Q86VR2,466,60.92130901287549,ENST00000309428.10,ENSG00000141699.11,RETREG3
Q92784,378,74.18645502645506,ENST00000556509.6,ENSG00000205683.12,DPF3
Q6H3X3,334,69.65341317365278,ENST00000367360.7,ENSG00000203722.8,RAET1G
Q96B96,161,80.38521739130432,ENST00000233047.9,ENSG00000011638.11,LDAF1
Q05084,483,69.538033126294,ENST00000402384.8,ENSG00000003147.19,ICA1
P30044,214,85.38378504672902,ENST00000265462.9,ENSG00000126432.14,PRDX5
Q9NVV9,213,70.86140845070423,ENST00000254250.7,ENSG00000131931.8,THAP1
Q9UDW1,63,94.37333333333332,ENST00000330029.6,ENSG00000184076.13,UQCR10
Q9H9T3,547,91.84372943327251,ENST00000256398.13,ENSG00000134014.17,ELP3
Q2NL68,480,57.57166666666675,na,na,na
Q5J8X5,152,85.81625000000004,ENST00000378186.7,ENSG00000204979.8,MS4A13
Q86YB7,292,92.44058219178086,ENST00000371522.9,ENSG00000121310.17,ECHDC2
Q9UMX1,484,82.48950413223145,ENST00000369902.8,ENSG00000107882.12,SUFU
Q9UK00,162,63.50246913580248,ENST00000357203.8,ENSG00000088543.15,C3orf18
Q96FZ5,175,70.51308571428574,ENST00000334983.10,ENSG00000153551.14,CMTM7
Q92851,521,69.18660268714007,na,na,na
P25685,340,82.55323529411758,ENST00000254322.3,ENSG00000132002.9,DNAJB1
P62191,440,77.63195454545452,ENST00000261303.13,ENSG00000100764.14,PSMC1
O15371,548,82.58558394160576,ENST00000216190.13,ENSG00000100353.18,EIF3D
Q9NPI0,162,86.40283950617281,ENST00000278826.11,ENSG00000149483.13,TMEM138
Q13283,466,66.20995708154514,ENST00000356245.8,ENSG00000145907.16,G3BP1
Q9NWM3,386,63.341269430051774,ENST00000577830.6,ENSG00000180891.13,CUEDC1
O43293,454,86.66343612334798,ENST00000545797.7,ENSG00000167657.14,DAPK3
Q7Z449,544,88.18818014705876,ENST00000332884.11,ENSG00000155016.18,CYP2U1
O14807,208,86.65403846153852,ENST00000423968.7,ENSG00000158186.13,MRAS
Q99961,368,83.2780434782608,ENST00000269886.7,ENSG00000141985.9,SH3GL1
Q8IZJ6,230,77.58013043478259,na,na,na
P09104,434,97.07698156682022,ENST00000229277.6,ENSG00000111674.9,ENO2
Q96QD8,506,79.17936758893278,ENST00000256689.10,ENSG00000134294.14,SLC38A2
P15976,413,58.6004842615012,na,na,na
O95954,541,95.44293900184836,ENST00000397746.8,ENSG00000160282.15,FTCD
P49753,483,89.14103519668731,ENST00000238651.10,ENSG00000119673.16,ACOT2
Q92485,455,92.603010989011,ENST00000373894.8,ENSG00000130768.15,SMPDL3B
P98173,230,88.61465217391304,ENST00000447601.7,ENSG00000071889.17,FAM3A
P48728,403,93.60580645161286,ENST00000273588.9,ENSG00000145020.16,AMT
O14682,589,87.35702886247878,ENST00000302351.9,ENSG00000171617.15,ENC1
Q9NUP7,481,79.76419958419959,ENST00000370141.8,ENSG00000122435.11,TRMT13
Q9UL19,164,75.31707317073169,ENST00000255688.8,ENSG00000133321.11,PLAAT4
Q0P6D2,419,85.80875894988063,ENST00000343998.8,ENSG00000187773.9,DIPK1C
Q7L5A3,538,55.38371747211901,ENST00000322813.10,ENSG00000005238.20,FAM214B
Q9BZD2,475,81.8596421052631,ENST00000373189.6,ENSG00000198246.9,SLC29A3
Q6ZUK4,368,77.70953804347826,ENST00000399298.8,ENSG00000196932.12,TMEM26
Q15406,480,77.38956250000001,ENST00000487099.7,ENSG00000148200.17,NR6A1
O95273,360,86.83447222222223,ENST00000300213.9,ENSG00000166946.14,CCNDBP1
Q6UX27,236,76.38809322033899,ENST00000338372.7,ENSG00000189068.11,VSTM1
P54274,439,71.98523917995448,ENST00000276603.10,ENSG00000147601.15,TERF1
P23763,118,73.55754237288136,ENST00000396308.4,ENSG00000139190.17,VAMP1
O15540,132,96.6368939393939,ENST00000368444.8,ENSG00000164434.12,FABP7
Q96A37,237,84.22860759493683,ENST00000312838.9,ENSG00000158717.11,RNF166
Q9UHC3,531,82.75000000000003,ENST00000349064.10,ENSG00000213199.8,ASIC3
Q86VQ3,553,51.62421338155513,ENST00000306084.6,ENSG00000168454.13,TXNDC2
G9CGD6,899,62.84212458286981,na,na,na
Q5BJH7,314,73.33595541401276,ENST00000339413.11,ENSG00000167645.17,YIF1B
O43316,350,69.48459999999993,na,na,na
Q13506,487,63.89459958932236,ENST00000337386.10,ENSG00000138386.17,NAB1
Q96CM3,377,83.97872679045099,ENST00000298317.9,ENSG00000165526.9,RPUSD4
P11597,493,91.13496957403646,ENST00000200676.8,ENSG00000087237.12,CETP
Q96SQ7,321,64.38168224299062,ENST00000306279.4,ENSG00000168874.13,ATOH8
O00746,187,84.97898395721926,ENST00000219479.7,ENSG00000103202.13,NME4
P08709,466,82.0548283261803,ENST00000375581.3,ENSG00000057593.14,F7
P30046,118,97.9683898305085,ENST00000398344.9,ENSG00000099977.15,DDT
Q8WTP8,325,74.07147692307693,ENST00000332810.4,ENSG00000181026.15,AEN
Q9ULK6,438,74.7901826484019,ENST00000515673.7,ENSG00000170153.11,RNF150
Q96NG5,402,72.98631840796017,ENST00000601372.6,ENSG00000167785.9,ZNF558
P37802,199,87.90175879396985,ENST00000368097.9,ENSG00000158710.15,TAGLN2
P60660,151,95.2643046357616,ENST00000550697.6,ENSG00000092841.19,MYL6
P51398,398,85.0621608040201,ENST00000368336.10,ENSG00000132676.16,DAP3
O15178,435,64.09287356321839,ENST00000296946.6,ENSG00000164458.10,TBXT
Q63ZE4,541,87.12711645101665,ENST00000332793.11,ENSG00000184999.13,SLC22A10
O15379,428,91.25369158878492,ENST00000305264.8,ENSG00000171720.10,HDAC3
Q9HDC9,416,91.52528846153844,ENST00000217456.3,ENSG00000101474.12,APMAP
Q12951,378,59.03637566137565,ENST00000306268.8,ENSG00000168269.10,FOXI1
Q13510,395,91.6473670886076,ENST00000637790.2,ENSG00000104763.20,ASAH1
O75486,317,81.11006309148271,ENST00000371459.6,ENSG00000196284.17,SUPT3H
Q53T94,588,78.40680272108834,ENST00000263663.10,ENSG00000115750.17,TAF1B
P13929,434,97.49403225806458,ENST00000519602.6,ENSG00000108515.18,ENO3
Q70Z44,454,63.25101321585904,ENST00000382489.3,ENSG00000186090.11,HTR3D
Q5JTY5,395,75.04511392405065,ENST00000360171.11,ENSG00000196873.16,CBWD3
P55789,205,77.52951219512198,ENST00000248114.7,ENSG00000127554.13,GFER
P41219,470,78.13908510638299,ENST00000257860.9,ENSG00000135406.14,PRPH
Q9UQ80,394,92.6484010152283,ENST00000303305.11,ENSG00000170515.14,PA2G4
Q5SQN1,464,70.20181034482762,na,na,na
Q9H0Q3,95,70.2717894736842,ENST00000526014.6,ENSG00000137726.17,FXYD6
Q6ZUT6,534,53.71960674157301,na,na,na
Q96HA8,205,94.30995121951214,ENST00000287387.7,ENSG00000156795.8,NTAQ1
Q9BYB4,327,92.06149847094795,ENST00000329517.11,ENSG00000185838.14,GNB1L
Q8TCT7,592,75.85726351351354,ENST00000613503.5,ENSG00000005206.17,SPPL2B
Q8NBM4,344,72.23720930232562,ENST00000403766.8,ENSG00000134882.16,UBAC2
P50219,401,56.94199501246888,ENST00000252971.11,ENSG00000130675.15,MNX1
Q9NQT6,498,92.12775100401596,ENST00000265825.6,ENSG00000106328.10,FSCN3
Q9H5N1,569,77.9657996485061,ENST00000358201.9,ENSG00000177548.13,RABEP2
Q14183,400,78.0504,ENST00000350119.9,ENSG00000149927.18,DOC2A
Q96GE9,116,60.67974137931033,na,na,na
Q8IXY8,311,92.19302250803864,ENST00000521072.7,ENSG00000185250.16,PPIL6
Q8IYU4,475,54.59029473684208,ENST00000380184.2,ENSG00000175518.8,UBQLNL
Q96HZ4,224,70.21776785714292,ENST00000272937.10,ENSG00000144485.11,HES6
Q02252,535,93.02790654205616,ENST00000553458.6,ENSG00000119711.13,ALDH6A1
Q96RP7,486,79.3034979423868,ENST00000360039.9,ENSG00000197093.11,GAL3ST4
O14735,213,89.75159624413142,ENST00000219789.11,ENSG00000103502.14,CDIPT
P25800,156,88.2202564102564,ENST00000335790.8,ENSG00000166407.14,LMO1
Q9C004,299,61.271571906354566,ENST00000434127.3,ENSG00000187678.10,SPRY4
Q6ZS10,378,70.91899470899466,ENST00000417570.6,ENSG00000187912.12,CLEC17A
Q02223,184,64.94820652173914,ENST00000053243.6,ENSG00000048462.11,TNFRSF17
Q8NBT0,407,84.60481572481572,ENST00000296484.7,ENSG00000164087.8,POC1A
Q96D53,544,75.65632352941172,ENST00000324464.8,ENSG00000123815.13,COQ8B
Q02641,598,68.98787625418053,ENST00000394303.8,ENSG00000067191.16,CACNB1
Q9C0H2,523,79.46692160611846,ENST00000258796.12,ENSG00000136295.15,TTYH3
O43617,180,90.44594444444444,ENST00000373166.8,ENSG00000054116.12,TRAPPC3
Q9NXS3,571,93.34926444833624,ENST00000396128.9,ENSG00000179454.14,KLHL28
Q96EC8,236,74.14313559322034,ENST00000462683.6,ENSG00000181704.12,YIPF6
O75783,438,72.14472602739731,ENST00000219551.2,ENSG00000103269.14,RHBDL1
Q9NQQ7,365,83.15558904109594,ENST00000372230.10,ENSG00000080189.15,SLC35C2
Q96EP5,407,64.85943488943487,ENST00000233078.9,ENSG00000071626.17,DAZAP1
Q9H497,397,77.66662468513856,ENST00000367627.8,ENSG00000186283.14,TOR3A
Q96HJ5,214,77.92845794392528,ENST00000278865.8,ENSG00000149516.14,MS4A3
P0CW19,117,71.47837606837606,ENST00000437679.3,ENSG00000256977.13,LIMS3
Q6UWQ5,148,91.86912162162167,ENST00000649382.2,ENSG00000120563.10,LYZL1
Q99720,223,93.5563228699552,ENST00000277010.9,ENSG00000147955.18,SIGMAR1
O75952,493,47.79377281947258,ENST00000621648.4,ENSG00000154040.21,CABYR
P30988,474,77.46476793248942,ENST00000426151.7,ENSG00000004948.16,CALCR
Q16342,344,84.9542441860465,ENST00000541970.6,ENSG00000071994.11,PDCD2
B0YJ81,288,74.25909722222221,ENST00000361271.8,ENSG00000165996.14,HACD1
O00744,389,80.10627249357329,ENST00000301061.9,ENSG00000169884.14,WNT10B
Q99217,191,57.61120418848167,ENST00000380714.7,ENSG00000125363.14,AMELX
Q8N6C7,128,30.349453125000004,na,na,na
Q3I5F7,421,94.88586698337276,ENST00000645972.2,ENSG00000205669.4,ACOT6
Q9NY27,417,62.629999999999946,ENST00000356692.10,ENSG00000163605.15,PPP4R2
Q8TCV5,224,67.76410714285709,ENST00000307971.7,ENSG00000175121.11,WFDC5
Q96HA9,241,92.03522821576762,ENST00000221480.6,ENSG00000104883.8,PEX11G
Q9GZM8,345,77.40756521739137,ENST00000334527.12,ENSG00000166579.16,NDEL1
Q8TE02,316,76.7042088607595,na,na,na
Q8TE67,593,72.02627318718388,ENST00000361965.9,ENSG00000198758.11,EPS8L3
P28074,263,82.01361216730041,ENST00000361611.11,ENSG00000100804.19,PSMB5
Q9ULB1,4599,76.35798217003675,ENST00000406316.6,ENSG00000179915.25,NRXN1
P01116,189,92.15312169312166,ENST00000256078.10,ENSG00000133703.14,KRAS
Q9UGK3,403,70.38928039702238,ENST00000594605.6,ENSG00000178078.12,STAP2
Q14353,236,96.58245762711869,ENST00000252288.8,ENSG00000130005.13,GAMT
P49841,420,88.15554761904758,ENST00000264235.13,ENSG00000082701.17,GSK3B
Q9BYW1,496,89.01173387096775,ENST00000345044.10,ENSG00000133460.20,SLC2A11
Q9BYD3,311,83.45569131832795,ENST00000253099.11,ENSG00000105364.14,MRPL4
Q9H0F6,387,74.14129198966408,ENST00000398712.7,ENSG00000179526.17,SHARPIN
Q96GX9,242,93.028305785124,ENST00000395787.4,ENSG00000149089.13,APIP
P78417,241,95.8032780082987,ENST00000369713.10,ENSG00000148834.13,GSTO1
P30048,256,85.21207031250002,ENST00000298510.4,ENSG00000165672.7,PRDX3
Q49A26,553,77.79889692585888,ENST00000321919.14,ENSG00000140632.17,GLYR1
O60880,128,83.48015625000004,ENST00000371139.9,ENSG00000183918.17,SH2D1A
Q9UL49,500,53.05666000000001,ENST00000335351.8,ENSG00000101190.13,TCFL5
Q8WUT9,341,88.07448680351905,ENST00000217909.8,ENSG00000077713.19,SLC25A43
Q7Z3B4,507,76.42544378698223,ENST00000264883.8,ENSG00000138750.15,NUP54
P43351,418,69.35284688995213,ENST00000358495.8,ENSG00000002016.18,RAD52
Q96A61,297,68.10151515151522,ENST00000611618.1,ENSG00000183718.6,TRIM52
Q9H8M2,597,62.85013400335001,ENST00000467963.6,ENSG00000028310.18,BRD9
Q8WXH4,323,88.22510835913307,ENST00000480796.6,ENSG00000165192.14,ASB11
P63104,245,93.77885714285722,ENST00000395958.6,ENSG00000164924.18,YWHAZ
Q9NP70,447,41.98827740492166,ENST00000322937.10,ENSG00000178522.15,AMBN
Q5H9L4,462,67.20692640692639,ENST00000372907.7,ENSG00000102387.16,TAF7L
Q96KP4,475,97.82501052631578,ENST00000324262.9,ENSG00000133313.15,CNDP2
O75636,299,87.28056856187294,ENST00000270879.9,ENSG00000142748.13,FCN3
Q9Y694,548,84.92363138686125,ENST00000372585.10,ENSG00000137204.15,SLC22A7
Q7Z6B0,441,74.58095238095237,ENST00000536442.6,ENSG00000123106.11,CCDC91
Q15008,389,83.74992287917735,ENST00000295901.9,ENSG00000163636.11,PSMD6
O43193,412,76.34983009708746,ENST00000218721.1,ENSG00000102539.5,MLNR
Q93097,391,85.87012787723788,ENST00000369684.5,ENSG00000134245.18,WNT2B
Q15223,517,75.7551837524178,ENST00000264025.8,ENSG00000110400.11,NECTIN1
Q9BRS8,491,60.4829735234216,ENST00000299213.10,ENSG00000166173.11,LARP6
Q96HJ9,113,86.17539823008848,ENST00000297534.7,ENSG00000164898.13,FMC1
P11177,359,94.42320334261832,ENST00000302746.11,ENSG00000168291.13,PDHB
Q9Y6Z4,181,28.1050276243094,na,na,na
P61236,119,90.41773109243694,ENST00000398838.8,ENSG00000090238.12,YPEL3
Q5TBK1,243,77.82880658436214,ENST00000380130.7,ENSG00000139597.18,N4BP2L1
Q969S2,332,80.72996987951802,ENST00000284503.7,ENSG00000154328.16,NEIL2
P50995,505,75.87956435643555,ENST00000422982.8,ENSG00000122359.18,ANXA11
Q9UKA8,241,73.47560165975102,ENST00000374395.9,ENSG00000117602.13,RCAN3
A7E2S9,258,80.06751937984492,ENST00000409867.6,ENSG00000163046.16,ANKRD30BL
Q9NXE8,425,66.03491764705872,ENST00000614790.5,ENSG00000273559.5,CWC25
Q9H0X4,552,80.81831521739136,ENST00000399932.8,ENSG00000167930.17,FAM234A
Q13243,272,63.54624999999999,ENST00000557154.6,ENSG00000100650.16,SRSF5
O15244,555,83.69513513513517,ENST00000366953.8,ENSG00000112499.13,SLC22A2
P43003,542,81.95695571955727,ENST00000265113.9,ENSG00000079215.15,SLC1A3
Q99496,336,77.52922619047611,ENST00000367510.8,ENSG00000121481.11,RNF2
Q9HAJ7,183,74.77213114754097,ENST00000297109.11,ENSG00000164576.12,SAP30L
Q9NY26,324,80.38293209876544,ENST00000356205.9,ENSG00000143570.19,SLC39A1
Q9UKJ1,303,69.18782178217822,ENST00000198536.7,ENSG00000085514.16,PILRA
O14933,153,95.85411764705884,ENST00000287156.9,ENSG00000156587.16,UBE2L6
P58400,472,67.44536016949158,ENST00000401710.5,ENSG00000179915.25,NRXN1
Q9H477,322,94.99447204968943,ENST00000302188.8,ENSG00000171174.15,RBKS
Q8WVV5,523,85.8198087954112,ENST00000356709.9,ENSG00000124508.17,BTN2A2
Q53FA7,332,96.9463554216867,ENST00000238721.9,ENSG00000115129.14,TP53I3
P12872,115,68.12078260869563,ENST00000430124.7,ENSG00000096395.11,MLN
Q8IU60,420,67.02171428571427,ENST00000389063.3,ENSG00000172795.17,DCP2
Q6ZQR2,320,70.55478124999999,ENST00000343036.6,ENSG00000188523.9,CFAP77
Q9BQQ3,440,63.23834090909088,ENST00000319283.8,ENSG00000114745.14,GORASP1
Q7Z6V5,191,89.67424083769637,ENST00000237283.9,ENSG00000189007.16,ADAT2
Q969E2,229,86.51759825327512,ENST00000316097.13,ENSG00000227500.10,SCAMP4
Q6UY01,552,85.7884601449274,ENST00000316428.10,ENSG00000114248.10,LRRC31
Q5JXA9,342,76.27108187134498,ENST00000359801.8,ENSG00000196209.13,SIRPB2
Q8IZM9,456,84.485153508772,ENST00000267488.9,ENSG00000139974.16,SLC38A6
Q96LW2,410,76.49326829268293,na,na,na
Q9UJQ1,280,85.91253571428565,ENST00000246070.3,ENSG00000125869.10,LAMP5
O75355,529,90.66758034026462,ENST00000301825.8,ENSG00000168032.10,ENTPD3
Q6ZMS7,281,69.19508896797156,ENST00000378052.5,ENSG00000204946.10,ZNF783
Q8N9U0,490,67.00004081632645,ENST00000435962.7,ENSG00000165929.13,TC2N
Q9ULV8,474,80.45936708860765,ENST00000647358.2,ENSG00000142273.13,CBLC
Q96LM9,149,51.454228187919455,ENST00000246199.5,ENSG00000125975.14,C20orf173
P57721,371,66.78301886792453,ENST00000681687.1,ENSG00000183570.17,PCBP3
P14209,185,60.72032432432437,ENST00000381192.10_PAR_Y,ENSG00000002586.20_PAR_Y,CD99
O75771,328,87.93350609756098,ENST00000345365.11,ENSG00000185379.21,RAD51D
Q9BTM9,101,94.29940594059406,ENST00000372853.9,ENSG00000167118.11,URM1
Q86WA6,291,91.83202749140892,ENST00000380379.10,ENSG00000137274.13,BPHL
P23193,301,80.85777408637873,ENST00000521604.7,ENSG00000187735.15,TCEA1
Q9HC21,320,84.66203124999996,ENST00000416858.7,ENSG00000125454.12,SLC25A19
Q06609,339,91.42085545722712,ENST00000267868.8,ENSG00000051180.17,RAD51
Q5XKK7,198,64.7089393939394,ENST00000357635.10,ENSG00000178761.15,FAM219B
Q86U42,306,67.79519607843136,ENST00000216727.9,ENSG00000100836.11,PABPN1
Q8WV74,236,83.86059322033896,ENST00000376693.3,ENSG00000167799.10,NUDT8
P21589,574,92.3193205574913,ENST00000257770.8,ENSG00000135318.12,NT5E
Q8N755,202,91.55915841584157,ENST00000295083.8,ENSG00000162976.13,SLC66A3
Q99643,169,90.5124852071006,ENST00000367975.7,ENSG00000143252.16,SDHC
Q08495,405,64.02204938271606,ENST00000358242.6,ENSG00000158856.19,DMTN
P55808,180,58.64244444444447,ENST00000381174.10,ENSG00000124343.14,XG
Q7Z4T8,443,85.34440180586913,ENST00000392800.7,ENSG00000106648.14,GALNTL5
P52565,204,90.72058823529404,ENST00000269321.12,ENSG00000141522.12,ARHGDIA
Q9NSD4,429,72.08212121212125,ENST00000650114.2,ENSG00000063587.15,ZNF275
Q96AT9,228,96.57842105263148,ENST00000359429.11,ENSG00000197713.15,RPE
Q9BSQ5,444,66.64412162162166,ENST00000258781.11,ENSG00000136280.17,CCM2
