reference,length,plddt,class,helix,sheet,loop,surface charge,radius of gyration
O75191,536,96.06007463,high,0.412313433,0.175373134,0.412313433,-5,24.13119618
Q8TCD5,201,96.05810945,high,0.412935323,0.139303483,0.447761194,-3,17.53886141
Q9Y5P6,360,96.05805556,high,0.269444444,0.233333333,0.497222222,-5,21.63720286
P24666,158,96.0578481,high,0.474683544,0.139240506,0.386075949,1,15.00455123
Q9BRP4,392,96.04783163,high,0.022959184,0.540816327,0.43622449,-3,21.79565524
P28332,368,96.040625,high,0.323369565,0.192934783,0.483695652,6,20.95074656
P61313,204,96.01857843,high,0.387254902,0.151960784,0.460784314,42,21.65991842
O75689,374,95.99489305,high,0.35026738,0.278074866,0.371657754,11,23.95595975
Q9H503,90,95.98877778,high,0.688888889,0,0.311111111,-3,12.11299198
O43447,177,95.98638418,high,0.13559322,0.316384181,0.548022599,5,14.83356284
Q6PIU2,408,95.95801471,high,0.5,0.115196078,0.384803922,5,21.34474918
O00743,305,95.94170492,high,0.350819672,0.170491803,0.478688525,-2,18.36037
Q8NHP1,331,95.92906344,high,0.474320242,0.111782477,0.413897281,-1,19.69422431
Q96DR4,205,95.92892683,high,0.273170732,0.341463415,0.385365854,-5,16.39124826
O00442,366,95.89994536,high,0.325136612,0.25136612,0.423497268,5,20.29197462
P05091,517,95.88847195,high,0.381044487,0.18762089,0.431334623,-2.89E-15,24.73655899
Q86YJ6,484,95.87613636,high,0.506198347,0.146694215,0.347107438,-6,21.54357579
O14933,153,95.85411765,high,0.366013072,0.104575163,0.529411765,1,16.15306344
Q96MS3,346,95.82407514,high,0.528901734,0.167630058,0.303468208,-4,21.25639049
Q5JVF3,399,95.81220551,high,0.756892231,0.030075188,0.213032581,10,28.09626402
Q9BRF8,314,95.8072293,high,0.366242038,0.187898089,0.445859873,-4,18.35136102
P50135,292,95.80380137,high,0.482876712,0.202054795,0.315068493,-6,19.62812847
P78417,241,95.80327801,high,0.56846473,0.074688797,0.356846473,2,18.05587203
O00764,312,95.78820513,high,0.426282051,0.208333333,0.365384615,-6,18.95428294
Q9NZK5,511,95.7778865,high,0.567514677,0.074363992,0.358121331,9,26.81112573
Q6BCY4,276,95.77688406,high,0.221014493,0.322463768,0.456521739,3,19.12467209
P51452,185,95.77389189,high,0.454054054,0.124324324,0.421621622,-6.66E-16,16.13110127
P23919,212,95.7675,high,0.528301887,0.132075472,0.339622642,3,16.69180469
Q9UHK6,382,95.75219895,high,0.416230366,0.146596859,0.437172775,-2.22E-15,25.6137056
O94788,518,95.72453668,high,0.405405405,0.185328185,0.409266409,-2,24.80308426
O76054,403,95.69813896,high,0.397022333,0.225806452,0.377171216,3,24.7289501
A2RUC4,315,95.67838095,high,0.311111111,0.253968254,0.434920635,4,21.11380003
P46952,286,95.67688811,high,0.167832168,0.398601399,0.433566434,1,19.61759249
P25325,297,95.64424242,high,0.343434343,0.094276094,0.562289562,-3,18.9933187
Q9H2M3,363,95.64168044,high,0.495867769,0.052341598,0.451790634,-6,20.62654278
P32929,405,95.64167901,high,0.4,0.135802469,0.464197531,-4,22.00911648
P27338,520,95.62805769,high,0.409615385,0.167307692,0.423076923,6,25.52821305
P22234,425,95.58872941,high,0.411764706,0.216470588,0.371764706,4,25.64456869
O94760,285,95.58621053,high,0.357894737,0.238596491,0.403508772,-5,17.70951371
Q9BRQ8,373,95.5858445,high,0.319034853,0.230563003,0.450402145,6,21.71083437
O75608,230,95.58247826,high,0.339130435,0.2,0.460869565,1,16.67467842
O95278,331,95.57879154,high,0.371601208,0.196374622,0.432024169,-6,21.59112332
P30039,288,95.57444444,high,0.229166667,0.371527778,0.399305556,-4,19.32179042
Q6P093,401,95.53885287,high,0.488778055,0.122194514,0.389027431,7,20.86102726
Q16719,465,95.50324731,high,0.468817204,0.103225806,0.427956989,-2,23.69010993
P46597,345,95.49895652,high,0.547826087,0.136231884,0.315942029,-12,22.01242981
P04798,512,95.49761719,high,0.556640625,0.068359375,0.375,8,25.1969312
Q9NUI1,292,95.49705479,high,0.448630137,0.133561644,0.417808219,9,18.65584134
Q6IB77,296,95.48152027,high,0.388513514,0.226351351,0.385135135,5,19.17953919
P63267,376,95.47260638,high,0.457446809,0.180851064,0.361702128,-9,21.86023785
Q5VWZ2,237,95.47088608,high,0.345991561,0.189873418,0.464135021,3,17.08793012
Q07020,188,95.45718085,high,0.329787234,0.079787234,0.590425532,37,22.85681194
Q9Y3C4,175,95.45257143,high,0.491428571,0.131428571,0.377142857,-1.11E-15,15.70556562
Q9UJ83,578,95.4467301,high,0.448096886,0.155709343,0.396193772,5,26.40460641
P35080,140,95.44314286,high,0.335714286,0.307142857,0.357142857,1,13.76590226
O95954,541,95.442939,high,0.574861368,0.123844732,0.3012939,-6,28.14637143
Q9Y277,283,95.43971731,high,0.049469965,0.703180212,0.247349823,6,21.23977582
Q6P587,224,95.43191964,high,0.236607143,0.290178571,0.473214286,4,16.98776067
Q04760,184,95.42391304,high,0.293478261,0.239130435,0.467391304,-6,19.86006297
O00338,296,95.4177027,high,0.486486486,0.087837838,0.425675676,6,18.6755274
Q06136,332,95.41376506,high,0.629518072,0.093373494,0.277108434,1,21.98197812
O95394,542,95.41068266,high,0.463099631,0.191881919,0.34501845,-3,23.78336706
Q9UHA4,124,95.40943548,high,0.475806452,0.258064516,0.266129032,1,13.88833819
P17612,351,95.40783476,high,0.424501425,0.136752137,0.438746439,9,20.70112366
P48739,271,95.38254613,high,0.346863469,0.265682657,0.387453875,-2.89E-15,18.56626558
P26373,211,95.38208531,high,0.450236967,0.028436019,0.521327014,40,29.94946936
O75602,509,95.36290766,high,0.850687623,0,0.149312377,-3,35.05422207
A0PJE2,317,95.36227129,high,0.542586751,0.110410095,0.347003155,-1,18.57917456
P40394,386,95.32502591,high,0.300518135,0.207253886,0.492227979,9,21.59146878
P24752,427,95.32077283,high,0.423887588,0.180327869,0.395784543,14,25.07914965
P11908,318,95.30327044,high,0.374213836,0.232704403,0.393081761,-1,20.50943978
Q3LXA3,575,95.28933913,high,0.500869565,0.12,0.379130435,2,32.49586717
P60660,151,95.26430464,high,0.589403974,0.039735099,0.370860927,-14,18.37192721
P48163,572,95.25667832,high,0.505244755,0.089160839,0.405594406,-1,26.12791894
Q9BY41,377,95.25076923,high,0.427055703,0.103448276,0.469496021,-9,20.25257345
Q53GQ0,312,95.24163462,high,0.583333333,0.102564103,0.314102564,12,22.38215933
P22694,351,95.23145299,high,0.41025641,0.136752137,0.452991453,9,20.70833677
Q9H0R4,259,95.22467181,high,0.409266409,0.16988417,0.420849421,-3,18.91409731
Q96AB3,205,95.224,high,0.463414634,0.141463415,0.395121951,1,16.58751833
P49419,539,95.2096475,high,0.391465677,0.176252319,0.432282004,5,26.9671066
Q9Y2Q3,226,95.20464602,high,0.579646018,0.115044248,0.305309735,3,17.35905563
Q9UDX3,406,95.20352217,high,0.401477833,0.229064039,0.369458128,-6.88E-15,24.98594085
Q9HCC0,563,95.1825222,high,0.435168739,0.134991119,0.429840142,4,27.51812273
O75832,226,95.17663717,high,0.592920354,0,0.407079646,-5,21.21417717
Q9UHY7,261,95.16842912,high,0.536398467,0.084291188,0.379310345,-15,20.42138221
Q01415,458,95.15781659,high,0.454148472,0.183406114,0.362445415,-2,22.47475262
Q9UJ70,344,95.14889535,high,0.5,0.215116279,0.284883721,-7,21.38013975
Q9BY32,194,95.14298969,high,0.407216495,0.231958763,0.360824742,-2,16.86345951
P68106,108,95.13462963,high,0.12037037,0.425925926,0.453703704,2,13.24846011
Q15777,294,95.13462585,high,0.268707483,0.170068027,0.56122449,-3,19.19022652
Q9H0R8,117,95.13,high,0.333333333,0.188034188,0.478632479,3,14.12809425
Q02094,409,95.0897066,high,0.762836186,0.014669927,0.222493888,1,21.04281886
Q8N4S7,273,95.08849817,high,0.725274725,0,0.274725275,11,20.63026357
Q6ZRR5,245,95.07853061,high,0.836734694,0,0.163265306,9,22.79974832
Q8N682,238,95.06327731,high,0.743697479,0,0.256302521,-1,19.65335346
Q6ICL3,276,95.05485507,high,0.257246377,0.315217391,0.427536232,-8,17.70343934
P49914,203,95.0479803,high,0.39408867,0.177339901,0.428571429,3,16.47561315
O00628,323,95.03346749,high,0.012383901,0.492260062,0.495356037,-9,18.28478821
P36952,375,95.03181333,high,0.338666667,0.298666667,0.362666667,-5,21.53858623
Q15782,390,95.02302564,high,0.4,0.192307692,0.407692308,6,22.17516215
P67775,309,94.99805825,high,0.372168285,0.187702265,0.44012945,-7,18.62731748
Q9H477,322,94.99447205,high,0.388198758,0.239130435,0.372670807,-9,20.35478051
Q6ZVK8,323,94.98102167,high,0.235294118,0.334365325,0.430340557,-3,21.14264403
P49326,533,94.96939962,high,0.397748593,0.146341463,0.455909944,5,24.12976029
Q96AZ6,181,94.94668508,high,0.38121547,0.193370166,0.425414365,5,16.86920499
Q9NRZ7,376,94.92664894,high,0.614361702,0.10106383,0.284574468,13,21.66553174
Q9NSD9,589,94.92517827,high,0.361629881,0.251273345,0.387096774,-4.44E-15,33.60182942
P52788,366,94.92352459,high,0.306010929,0.336065574,0.357923497,-14,27.25284876
Q4LDG9,190,94.92305263,high,0.263157895,0.094736842,0.642105263,-2,18.01253949
P19440,569,94.90572935,high,0.434094903,0.158172232,0.407732865,3,25.57084173
Q3I5F7,421,94.88586698,high,0.304347826,0.202898551,0.492753623,-6,22.58596531
Q96QG7,549,94.86275046,high,0.473588342,0.156648452,0.369763206,-4,26.35592414
Q68D91,279,94.8497491,high,0.329749104,0.200716846,0.46953405,3,18.56216933
O95864,444,94.84222973,high,0.646396396,0.024774775,0.328828829,12,24.90637477
Q9Y5N5,214,94.8353271,high,0.387850467,0.219626168,0.392523364,-6,16.10315483
Q9Y587,144,94.82972222,high,0.479166667,0.215277778,0.305555556,-6,15.38312678
P48637,474,94.82248945,high,0.457805907,0.225738397,0.316455696,-4,22.36622309
O14732,288,94.81697917,high,0.40625,0.21875,0.375,1,18.86850733
Q15404,277,94.80440433,high,0.303249097,0.097472924,0.599277978,3,21.33130703
Q8NFU3,115,94.80295652,high,0.460869565,0.095652174,0.443478261,-2.00E-15,13.1960817
Q6XQN6,538,94.79589219,high,0.416356877,0.157992565,0.425650558,-1,29.00064189
Q53H96,274,94.79529197,high,0.613138686,0.138686131,0.248175182,1,21.48954366
Q9Y6A2,500,94.78684,high,0.556,0.094,0.35,16,24.34886162
Q9BV20,369,94.77859079,high,0.498644986,0.149051491,0.352303523,-4,20.90600899
P27216,316,94.77800633,high,0.715189873,0,0.284810127,-2,21.34235686
O75897,302,94.76019868,high,0.473509934,0.09602649,0.430463576,7,19.16072456
P60891,318,94.75801887,high,0.374213836,0.235849057,0.389937107,1,20.54859419
Q86SQ9,333,94.75291291,high,0.633633634,0.096096096,0.27027027,6,22.97607791
O95168,129,94.73341085,high,0.658914729,0,0.341085271,9,30.34105474
O15392,142,94.72915493,high,0.556338028,0.070422535,0.373239437,-4,19.42166577
Q7Z4H3,204,94.70387255,high,0.725490196,0,0.274509804,-5,19.19227891
O60427,444,94.69630631,high,0.628378378,0.024774775,0.346846847,13,24.38877566
Q3SYC2,334,94.69607784,high,0.479041916,0.128742515,0.392215569,10,20.7517477
Q8N3Y7,309,94.69533981,high,0.563106796,0.126213592,0.310679612,6,20.96601945
Q5TC63,336,94.69419643,high,0.708333333,0,0.291666667,8,20.44140549
Q9Y251,543,94.68585635,high,0.35174954,0.163904236,0.484346225,24,25.94467145
P36543,226,94.68212389,high,0.730088496,0.088495575,0.181415929,1,50.75767121
P35813,382,94.67965969,high,0.387434555,0.183246073,0.429319372,-15,22.89880979
Q86XA0,190,94.64410526,high,0.389473684,0.205263158,0.405263158,-10,15.83271319
P51606,427,94.63009368,high,0.580796253,0.014051522,0.405152225,-4,22.5630511
P49356,437,94.60379863,high,0.496567506,0.018306636,0.485125858,-12,22.98221589
P26439,372,94.59233871,high,0.465053763,0.126344086,0.408602151,6,21.26227322
P25788,255,94.5847451,high,0.407843137,0.243137255,0.349019608,-8,19.37575433
Q6ZQY3,521,94.56429942,high,0.460652591,0.086372361,0.452975048,-2.22E-15,28.81638121
P09471,354,94.54177966,high,0.576271186,0.118644068,0.305084746,-7,25.0512651
Q01740,532,94.52652256,high,0.390977444,0.142857143,0.466165414,2,24.96240741
P49459,152,94.52565789,high,0.381578947,0.151315789,0.467105263,-3,16.22927243
P11413,515,94.52062136,high,0.411650485,0.190291262,0.398058252,-2,24.49909514
Q8IY31,132,94.51287879,high,0.878787879,0.053030303,0.068181818,-5,55.18632677
Q8WVC6,231,94.48857143,high,0.640692641,0.103896104,0.255411255,8,22.43826765
P13928,327,94.47880734,high,0.727828746,0,0.272171254,-5,21.62126794
P0DTE4,527,94.47844402,high,0.538899431,0.111954459,0.34914611,18,28.7964637
Q9H3H5,408,94.47615196,high,0.678921569,0.073529412,0.24754902,5,22.92110815
P08559,390,94.47374359,high,0.420512821,0.123076923,0.456410256,10,24.9510809
P32321,178,94.46651685,high,0.275280899,0.123595506,0.601123596,4,19.62016175
P08243,561,94.46650624,high,0.450980392,0.174688057,0.374331551,4,23.28951573
O95749,300,94.45936667,high,0.806666667,0,0.193333333,-3,20.03848241
Q8N138,153,94.45679739,high,0.640522876,0,0.359477124,5,18.24299113
P51854,596,94.45501678,high,0.432885906,0.149328859,0.417785235,-5,28.18539427
Q8TCA0,184,94.4438587,high,0.331521739,0.114130435,0.554347826,-2,17.32841398
P10635,497,94.44144869,high,0.573440644,0.070422535,0.356136821,2,24.25591125
Q9BT78,406,94.44054187,high,0.768472906,0.02955665,0.201970443,-9,34.29615565
P10619,480,94.44033333,high,0.366666667,0.183333333,0.45,6,24.53771331
P54315,467,94.43539615,high,0.2248394,0.246252677,0.528907923,-5,27.23832509
Q9H0F7,186,94.43327957,high,0.370967742,0.215053763,0.413978495,5,16.48199887
Q3LIE5,342,94.4255848,high,0.298245614,0.178362573,0.523391813,-11,20.02903597
P11177,359,94.42320334,high,0.398328691,0.161559889,0.440111421,2,25.83526098
P59998,168,94.42172619,high,0.535714286,0.166666667,0.297619048,3,19.60847237
Q9Y394,339,94.41268437,high,0.569321534,0.103244838,0.327433628,3,21.63978925
P54687,386,94.40080311,high,0.248704663,0.292746114,0.458549223,-6,23.85362066
Q9NZ01,308,94.40032468,high,0.548701299,0.090909091,0.36038961,18,24.3286915
P07355,339,94.39572271,high,0.707964602,0,0.292035398,4,21.90337037
Q8NDH3,523,94.38711281,high,0.38623327,0.189292543,0.424474187,3,24.21019598
Q9UDW1,63,94.37333333,high,0.793650794,0,0.206349206,3,21.40206289
P61966,158,94.36993671,high,0.506329114,0.196202532,0.297468354,-2,17.80615187
P06133,528,94.36731061,high,0.528409091,0.109848485,0.361742424,11,28.9944167
Q8NHE4,81,94.36037037,high,0.740740741,0,0.259259259,2,20.26785288
